ESTER INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 371.63 , 394.33 , 670.81 , 697.94 , 884.30 , 927.58 , 894.83 , 768.13 , 703.14 , 811.94 ," 1,028.06 "," 1,028.06 ", 779.16 
Expenses, 300.79 , 333.35 , 447.98 , 662.51 , 841.94 , 853.12 , 822.97 , 696.10 , 660.26 , 745.58 , 920.10 , 920.10 , 723.63 
Operating Profit, 70.84 , 60.98 , 222.83 , 35.43 , 42.36 , 74.46 , 71.86 , 72.03 , 42.88 , 66.36 , 107.96 , 107.96 , 55.53 
Other Income, 0.29 , 0.94 , 1.26 , 5.63 , 4.87 , 4.85 , 2.21 , 3.18 , 6.30 , 4.94 , 5.72 , -   , -   
Depreciation, 13.42 , 14.15 , 17.93 , 26.54 , 28.59 , 30.30 , 32.11 , 32.36 , 31.76 , 31.02 , 32.42 , 32.42 , 32.42 
Interest, 9.63 , 6.43 , 12.76 , 35.49 , 26.47 , 34.87 , 37.10 , 36.01 , 33.36 , 32.78 , 34.21 , 34.21 , 34.21 
Profit before tax, 48.08 , 41.34 , 193.40 , (20.97), (7.81), 14.15 , 4.87 , 6.84 , (15.93), 7.49 , 47.05 , 41.33 , (11.10)
Tax, 14.65 , 13.47 , 63.93 , (7.05), (2.54), 5.74 , 1.04 , 2.27 , (5.24), 2.20 , 15.93 ,34%,34%
Net profit, 33.43 , 27.87 , 129.47 , (13.92), (5.27), 8.41 , 3.84 , 4.56 , (10.69), 5.29 , 31.10 , 27.34 , (7.34)
EPS, 6.02 , 4.43 , 20.59 , (2.21), (0.84), 1.34 , 0.61 , 0.55 , (1.28), 0.63 , 3.73 , 3.28 , (0.88)
Price to earning, 2.09 , 4.73 , 2.27 , (9.34), (12.13), 9.34 , 30.01 , 107.47 , (35.50), 115.29 , 10.23 , 77.66 , 10.23 
Price, 12.60 , 20.98 , 46.82 , 20.67 , 10.16 , 12.49 , 18.39 , 58.77 , 45.51 , 73.13 , 38.15 , 254.58 , (9.00)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.29%,22.57%,19.43%,0.00%,0.00%,37.46%,0.00%,0.00%,0.00%,0.00%,,,
OPM,19.06%,15.46%,33.22%,5.08%,4.79%,8.03%,8.03%,9.38%,6.10%,8.17%,10.50%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.07%,2.77%,-1.69%,-3.19%,26.62%,26.62%,-3.19%
,,,,,,OPM,10.67%,7.13%,7.98%,7.94%,10.50%,10.50%,7.13%
,,,,,,Price to Earning, 35.18 , 54.47 , 54.47 , 77.66 , 10.23 , 77.66 , 10.23 
