MAHINDRA CIE AUTOMOTIVE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 87.86 , 87.87 , 92.17 , 92.17 , 92.34 , 322.98 , 323.34 , 378.10 , 378.40 , 378.80 
Reserves, 695.98 , 699.99 , 767.27 , 809.68 , 839.17 ," 1,985.55 "," 2,020.97 "," 3,085.50 "," 3,121.20 "," 3,162.80 "
Borrowings, 148.67 , 138.22 , 68.69 , 32.65 , 76.23 , 57.50 , 18.05 , 138.50 , 101.40 , 137.20 
Other Liabilities, 115.01 , 99.94 , 86.59 , 115.71 , 110.01 , 392.98 , 428.24 , 434.70 , 515.30 , 531.90 
Total," 1,047.52 "," 1,026.02 "," 1,014.72 "," 1,050.21 "," 1,117.75 "," 2,759.01 "," 2,790.60 "," 4,036.80 "," 4,116.30 "," 4,210.70 "
,,,,,,,,,,
Net Block, 191.35 , 179.63 , 202.42 , 193.01 , 173.54 , 521.39 , 528.75 , 510.70 , 611.20 , 605.40 
Capital Work in Progress, 35.28 , 42.84 , 15.98 , 11.04 , 11.80 , 89.72 , 22.12 , 6.10 , 25.30 , 63.20 
Investments, 697.20 , 672.56 , 683.41 , 723.53 , 810.93 ," 1,577.36 "," 1,620.90 "," 2,906.50 "," 2,755.10 "," 2,685.00 "
Other Assets, 123.69 , 130.99 , 112.91 , 122.63 , 121.48 , 570.54 , 618.83 , 613.50 , 724.70 , 857.10 
Total," 1,047.52 "," 1,026.02 "," 1,014.72 "," 1,050.21 "," 1,117.75 "," 2,759.01 "," 2,790.60 "," 4,036.80 "," 4,116.30 "," 4,210.70 "
,,,,,,,,,,
Working Capital, 8.68 , 31.05 , 26.32 , 6.92 , 11.47 , 177.56 , 190.59 , 178.80 , 209.40 , 325.20 
Debtors, 28.28 , 56.04 , 43.81 , 42.04 , 49.32 , 230.68 , 230.27 , 243.10 , 329.30 , 391.40 
Inventory, 45.11 , 53.08 , 48.36 , 46.73 , 44.35 , 152.48 , 151.31 , 141.70 , 172.80 , 243.60 
,,,,,,,,,,
Debtor Days, 34.38 , 57.44 , 37.02 , 34.89 , 46.64 , 51.28 , 63.15 , 55.07 , 61.30 , 56.48 
Inventory Turnover, 6.66 , 6.71 , 8.93 , 9.41 , 8.70 , 10.77 , 8.80 , 11.37 , 11.35 , 10.38 
,,,,,,,,,,
Return on Equity,-12%,0%,1%,5%,2%,3%,1%,1%,2%,1%
Return on Capital Emp,,1%,2%,5%,3%,5%,2%,3%,3%,4%
,,,,,,,,,,
