KELLTON TECH SOLUTIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.90 , 0.94 , 0.67 , 14.14 , 14.52 , 33.84 , 39.90 , 48.78 , 76.50 , 122.54 , 115.71 , 196.29 , 175.02 
Expenses, 2.01 , 0.57 , 4.09 , 11.14 , 10.62 , 27.70 , 30.86 , 37.08 , 62.77 , 104.89 , 101.55 , 162.17 , 153.60 
Operating Profit, (1.11), 0.37 , (3.42), 3.00 , 3.90 , 6.14 , 9.04 , 11.70 , 13.73 , 17.65 , 14.16 , 34.12 , 21.42 
Other Income, 0.07 , 0.02 , 0.01 , 0.05 , 0.19 , 0.03 , 0.52 , 0.34 , 2.20 , 2.48 , 4.76 , -   , -   
Depreciation, 0.18 , 0.19 , 0.20 , 0.32 , 0.46 , 0.40 , 0.93 , 1.09 , 1.83 , 2.17 , 2.19 , 2.19 , 2.19 
Interest, -   , -   , -   , 0.24 , 0.60 , 1.87 , 1.50 , 1.85 , 2.01 , 3.88 , 4.20 , 4.20 , 4.20 
Profit before tax, (1.22), 0.20 , (3.61), 2.49 , 3.03 , 3.90 , 7.12 , 9.10 , 12.08 , 14.07 , 12.53 , 27.73 , 15.03 
Tax, 0.02 , 0.01 , 0.04 , (0.07), 0.37 , (0.03), 0.96 , 2.37 , 4.11 , 4.21 , 3.71 ,30%,30%
Net profit, (1.24), 0.19 , (3.65), 2.56 , 2.66 , 3.93 , 6.16 , 6.73 , 7.98 , 9.86 , 8.83 , 19.52 , 10.58 
EPS, (0.67), 0.10 , (1.98), 0.72 , 0.75 , 0.95 , 1.42 , 1.44 , 1.69 , 1.02 , 0.92 , 2.03 , 1.10 
Price to earning, (5.07), 23.63 , (1.12), 6.37 , 5.89 , 4.89 , 25.86 , 72.77 , 36.18 , 70.81 , 38.31 , 54.52 , 31.63 
Price, 3.40 , 2.43 , 2.22 , 4.60 , 4.41 , 4.64 , 36.63 , 104.58 , 61.24 , 72.44 , 35.10 , 110.41 , 34.72 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,39.36%,0.00%,21.22%,26.86%,18.14%,22.66%,23.99%,17.95%,14.40%,12.24%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,72.63%,110.46%,53.20%,45.36%,60.18%,60.18%,45.36%
,,,,,,OPM,18.58%,18.61%,18.12%,17.38%,12.24%,17.38%,12.24%
,,,,,,Price to Earning, 31.63 , 32.63 , 41.47 , 54.52 , 38.31 , 54.52 , 31.63 
