DHAMPUR SUGAR MILLS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-08,Sep-09,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 667.86 , 935.52 ," 2,328.85 "," 1,536.29 "," 1,481.22 "," 1,822.07 "," 1,776.10 "," 2,183.39 "," 2,534.02 "," 3,278.53 "," 2,754.45 "," 4,241.78 "," 3,416.45 "
Expenses, 553.90 , 743.89 ," 2,129.92 "," 1,334.15 "," 1,259.88 "," 1,690.55 "," 1,638.97 "," 1,956.49 "," 2,013.27 "," 2,914.82 "," 2,274.33 "," 3,502.41 "," 3,009.80 "
Operating Profit, 113.96 , 191.63 , 198.93 , 202.14 , 221.34 , 131.52 , 137.13 , 226.90 , 520.75 , 363.71 , 480.12 , 739.37 , 406.65 
Other Income, 11.14 , 15.02 , 26.15 , 4.43 , 10.69 , 21.93 , 27.98 , 31.31 , 25.07 , 24.97 , 1.04 , -   , -   
Depreciation, 53.37 , 61.58 , 96.17 , 67.66 , 76.76 , 75.88 , 55.15 , 54.86 , 53.95 , 56.69 , 69.69 , 69.69 , 69.69 
Interest, 77.90 , 82.98 , 127.24 , 94.87 , 115.97 , 158.53 , 161.65 , 165.89 , 167.02 , 121.30 , 90.51 , 90.51 , 90.51 
Profit before tax, (6.16), 62.11 , 10.42 , 44.04 , 39.30 , (80.96), (51.69), 37.46 , 324.85 , 210.69 , 320.96 , 579.17 , 246.45 
Tax, (9.76), 5.92 , 1.74 , 15.50 , 16.54 , (5.59), (41.33), 5.51 , 89.98 , 53.53 , 65.97 ,21%,21%
Net profit, 3.60 , 56.19 , 8.68 , 28.54 , 22.76 , (75.37), (10.36), 31.95 , 234.87 , 157.16 , 254.99 , 460.13 , 195.79 
EPS, 0.68 , 10.60 , 1.60 , 5.26 , 4.22 , (13.17), (1.76), 5.31 , 35.38 , 23.67 , 38.41 , 69.31 , 29.49 
Price to earning, 52.74 , 9.99 , 38.35 , 8.51 , 10.79 , (3.46), (20.91), 17.03 , 6.42 , 4.90 , 6.13 , 8.62 , 6.13 
Price, 35.80 , 105.87 , 61.27 , 44.81 , 45.54 , 45.56 , 36.89 , 90.38 , 227.01 , 116.00 , 235.40 , 597.43 , 180.75 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,14.10%,62.21%,23.65%,29.66%,0.00%,0.00%,0.00%,16.98%,12.68%,,,
OPM,17.06%,20.48%,8.54%,13.16%,14.94%,7.22%,7.72%,10.39%,20.55%,11.09%,17.43%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.34%,5.01%,17.22%,22.67%,29.38%,29.38%,5.01%
,,,,,,OPM,12.45%,12.34%,11.90%,13.90%,17.43%,17.43%,11.90%
,,,,,,Price to Earning, 17.21 , 8.96 , 8.62 , 8.62 , 6.13 , 8.62 , 6.13 
