GALAXY SURFACTANTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   ," 1,471.68 "," 1,342.83 "," 1,500.32 "," 1,683.24 "," 1,955.87 "," 1,955.87 "," 1,772.80 "
Expenses, -   , -   , -   , -   , -   , -   ," 1,295.50 "," 1,138.10 "," 1,311.04 "," 1,483.74 "," 1,712.13 "," 1,699.41 "," 1,551.87 "
Operating Profit, -   , -   , -   , -   , -   , -   , 176.18 , 204.73 , 189.28 , 199.50 , 243.74 , 256.46 , 220.93 
Other Income, -   , -   , -   , -   , -   , -   , 8.40 , 9.03 , 35.32 , 12.97 , 33.19 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 23.86 , 22.96 , 25.05 , 27.51 , 28.20 , 28.20 , 28.20 
Interest, -   , -   , -   , -   , -   , -   , 30.58 , 25.94 , 20.78 , 20.59 , 18.74 , 18.74 , 18.74 
Profit before tax, -   , -   , -   , -   , -   , -   , 130.15 , 164.86 , 178.77 , 164.37 , 229.99 , 209.52 , 173.99 
Tax, -   , -   , -   , -   , -   , -   , 45.00 , 57.64 , 58.06 , 51.96 , 74.41 ,32%,32%
Net profit, -   , -   , -   , -   , -   , -   , 85.16 , 107.22 , 120.71 , 112.41 , 155.58 , 141.73 , 117.70 
EPS, -   , -   , -   , -   , -   , -   , 24.02 , 30.24 , 34.05 , 31.71 , 43.88 , 39.98 , 33.20 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 45.17 , 24.20 , 34.69 , 24.20 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,432.11 "," 1,061.95 "," 1,386.54 ", 803.36 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.65%,29.76%,17.62%,22.08%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.97%,15.25%,12.62%,11.85%,12.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,4.58%,16.20%,16.20%,4.58%
,,,,,,OPM,12.83%,12.83%,12.83%,13.11%,12.46%,13.11%,12.46%
,,,,,,Price to Earning, 34.69 , 34.69 , 34.69 , 34.69 , 24.20 , 34.69 , 24.20 
