GNA AXLES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 310.42 , 398.63 , 348.92 , 403.35 , 430.07 , 508.52 , 513.41 , 670.14 , 928.28 , 928.28 , 778.01 
Expenses, -   , -   , 277.90 , 346.86 , 305.08 , 353.18 , 369.67 , 426.17 , 432.96 , 567.08 , 783.21 , 782.43 , 668.47 
Operating Profit, -   , -   , 32.52 , 51.77 , 43.84 , 50.17 , 60.40 , 82.35 , 80.45 , 103.06 , 145.07 , 145.85 , 109.55 
Other Income, -   , -   , 2.04 , -   , 0.13 , 0.21 , 0.57 , 0.42 , 2.90 , 2.87 , 0.40 , -   , -   
Depreciation, -   , -   , 11.72 , 12.40 , 13.63 , 17.36 , 22.98 , 27.17 , 23.94 , 24.80 , 34.73 , 34.73 , 34.73 
Interest, -   , -   , 9.25 , 11.54 , 12.71 , 15.19 , 17.26 , 16.29 , 12.52 , 7.09 , 8.10 , 8.10 , 8.10 
Profit before tax, -   , -   , 13.60 , 27.84 , 17.63 , 18.47 , 20.74 , 39.31 , 46.89 , 74.03 , 102.64 , 103.02 , 66.72 
Tax, -   , -   , 6.21 , 10.91 , 12.82 , 5.20 , (0.86), 13.35 , 17.29 , 23.14 , 36.54 ,36%,36%
Net profit, -   , -   , 7.39 , 16.93 , 4.81 , 13.27 , 21.60 , 25.96 , 29.60 , 50.88 , 66.11 , 66.35 , 42.97 
EPS, -   , -   , 4.87 , 11.16 , 3.17 , 8.75 , 14.24 , 17.12 , 13.79 , 23.70 , 30.80 , 30.91 , 20.02 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 16.20 , 22.02 , 10.11 , 16.11 , 10.11 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 223.34 , 521.90 , 311.40 , 497.89 , 202.38 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.43%,,,
OPM,0.00%,0.00%,10.48%,12.99%,12.56%,12.44%,14.04%,16.19%,15.67%,15.38%,15.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,11.62%,13.94%,15.93%,38.52%,38.52%,11.62%
,,,,,,OPM,14.08%,14.42%,14.91%,15.71%,15.63%,15.71%,14.08%
,,,,,,Price to Earning, 16.11 , 16.11 , 16.11 , 16.11 , 10.11 , 16.11 , 10.11 
