KAMDHENU LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 19.01 , 19.01 , 19.01 , 20.60 , 23.40 , 23.40 , 23.40 , 23.40 , 23.40 , 23.40 
Reserves, 49.74 , 51.67 , 54.52 , 58.14 , 64.63 , 70.59 , 76.11 , 82.28 , 91.51 , 120.20 
Borrowings, 54.86 , 58.10 , 72.32 , 73.27 , 77.09 , 86.87 , 98.86 , 107.78 , 106.46 , 87.57 
Other Liabilities, 49.67 , 58.47 , 64.14 , 79.58 , 102.79 , 88.38 , 85.82 , 83.49 , 126.10 , 147.79 
Total, 173.28 , 187.25 , 209.99 , 231.59 , 267.91 , 269.24 , 284.19 , 296.95 , 347.47 , 378.96 
,,,,,,,,,,
Net Block, 40.91 , 41.06 , 46.64 , 47.08 , 48.03 , 49.31 , 47.65 , 46.84 , 79.65 , 74.40 
Capital Work in Progress, -   , 0.45 , 0.71 , 1.29 , 1.50 , 0.33 , 0.07 , -   , -   , -   
Investments, 4.86 , 3.97 , 2.78 , 1.78 , 1.78 , 4.17 , 3.42 , 3.42 , 2.72 , 2.70 
Other Assets, 127.51 , 141.77 , 159.86 , 181.44 , 216.60 , 215.43 , 233.05 , 246.69 , 265.10 , 301.86 
Total, 173.28 , 187.25 , 209.99 , 231.59 , 267.91 , 269.24 , 284.19 , 296.95 , 347.47 , 378.96 
,,,,,,,,,,
Working Capital, 77.84 , 83.30 , 95.72 , 101.86 , 113.81 , 127.05 , 147.23 , 163.20 , 139.00 , 154.07 
Debtors, 76.29 , 89.96 , 85.20 , 98.94 , 119.64 , 128.44 , 134.43 , 143.52 , 160.15 , 186.36 
Inventory, 23.49 , 26.72 , 33.59 , 38.62 , 50.40 , 55.05 , 64.86 , 70.91 , 61.55 , 66.91 
,,,,,,,,,,
Debtor Days, 74.33 , 89.00 , 81.17 , 75.00 , 79.75 , 50.86 , 50.69 , 62.27 , 70.87 , 57.66 
Inventory Turnover, 15.95 , 13.81 , 11.41 , 12.47 , 10.86 , 16.74 , 14.92 , 11.86 , 13.40 , 17.63 
,,,,,,,,,,
Return on Equity,2%,3%,4%,5%,5%,6%,8%,8%,7%,11%
Return on Capital Emp,,6%,8%,11%,11%,12%,13%,13%,12%,16%
,,,,,,,,,,
