GRINDWELL NORTON LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 502.12 , 702.36 , 796.73 , 906.60 , 945.10 , 941.61 ," 1,110.39 "," 1,126.00 "," 1,236.43 "," 1,405.38 "," 1,545.64 "," 1,597.42 "," 1,531.66 "
Expenses, 432.05 , 586.55 , 665.61 , 754.27 , 801.54 , 810.14 , 945.27 , 957.95 ," 1,055.69 "," 1,169.05 "," 1,279.85 "," 1,322.72 "," 1,299.61 "
Operating Profit, 70.07 , 115.81 , 131.12 , 152.33 , 143.56 , 131.47 , 165.12 , 168.05 , 180.74 , 236.33 , 265.79 , 274.69 , 232.05 
Other Income, 22.69 , 32.03 , 11.17 , 13.69 , 12.51 , 14.79 , 20.02 , 24.59 , 32.94 , 29.01 , 33.36 , -   , -   
Depreciation, 13.96 , 17.79 , 16.32 , 16.68 , 19.42 , 25.94 , 35.34 , 36.85 , 39.83 , 42.18 , 42.03 , 42.03 , 42.03 
Interest, 0.61 , 0.25 , 0.28 , 0.36 , 0.59 , 0.45 , 0.56 , 0.69 , 1.10 , 1.05 , 1.07 , 1.07 , 1.07 
Profit before tax, 79.12 , 130.03 , 125.69 , 148.98 , 136.05 , 119.88 , 149.23 , 155.10 , 172.74 , 222.11 , 256.05 , 231.59 , 188.95 
Tax, 24.11 , 42.52 , 40.06 , 45.35 , 38.38 , 37.55 , 48.20 , 52.96 , 56.74 , 74.95 , 89.27 ,35%,35%
Net profit, 55.01 , 87.51 , 85.63 , 103.63 , 97.67 , 82.32 , 101.02 , 102.14 , 116.01 , 147.16 , 166.78 , 150.85 , 123.07 
EPS, 3.31 , 5.27 , 5.16 , 6.24 , 5.88 , 4.96 , 6.08 , 6.15 , 6.99 , 13.29 , 15.06 , 13.62 , 11.12 
Price to earning, 12.33 , 17.56 , 21.81 , 21.52 , 20.84 , 31.14 , 58.21 , 53.23 , 54.01 , 38.50 , 39.79 , 46.39 , 33.54 
Price, 40.85 , 92.52 , 112.44 , 134.25 , 122.56 , 154.37 , 354.04 , 327.39 , 377.30 , 511.75 , 599.40 , 631.98 , 372.83 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,40.25%,37.96%,38.79%,34.72%,36.84%,43.71%,35.62%,35.23%,38.18%,37.62%,,,
OPM,13.95%,16.49%,16.46%,16.80%,15.19%,13.96%,14.87%,14.92%,14.62%,16.82%,17.20%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.12%,8.45%,8.26%,8.17%,13.66%,13.66%,8.17%
,,,,,,OPM,15.45%,15.35%,15.15%,15.53%,17.20%,17.20%,15.15%
,,,,,,Price to Earning, 33.54 , 39.66 , 45.82 , 46.39 , 39.79 , 46.39 , 33.54 
