HEXAWARE TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales, 486.27 , 423.65 , 678.58 , 912.47 ," 1,019.95 "," 1,154.56 "," 1,293.60 "," 1,393.04 "," 1,524.11 "," 1,794.03 "," 1,913.74 "," 2,111.75 "," 2,014.45 "
Expenses, 371.90 , 418.93 , 448.46 , 589.55 , 611.17 , 791.80 , 854.58 , 936.27 ," 1,033.99 "," 1,245.76 "," 1,314.98 "," 1,441.56 "," 1,384.18 "
Operating Profit, 114.37 , 4.72 , 230.12 , 322.92 , 408.78 , 362.76 , 439.02 , 456.77 , 490.12 , 548.27 , 598.76 , 670.19 , 630.27 
Other Income, 34.11 , 115.60 , 44.94 , 45.75 , 32.80 , 59.47 , 10.34 , 32.03 , 56.66 , 54.18 , 26.49 , -   , -   
Depreciation, 18.62 , 17.62 , 18.90 , 26.95 , 31.03 , 39.17 , 40.84 , 42.32 , 49.34 , 49.41 , 50.08 , 50.08 , 50.08 
Interest, 0.26 , 1.64 , 1.76 , 0.51 , 0.52 , 1.28 , 0.47 , 0.54 , 0.71 , 1.27 , 0.04 , 0.04 , 0.04 
Profit before tax, 129.60 , 101.06 , 254.40 , 341.21 , 410.03 , 381.78 , 408.05 , 445.94 , 496.72 , 551.78 , 575.13 , 620.07 , 580.15 
Tax, 5.40 , 8.23 , 22.42 , 55.61 , 76.06 , 63.38 , 75.09 , 94.51 , 85.76 , 98.82 , 97.71 ,17%,17%
Net profit, 124.20 , 92.83 , 231.98 , 285.60 , 333.97 , 318.40 , 332.97 , 351.43 , 410.96 , 452.96 , 477.43 , 514.73 , 481.59 
EPS, 4.29 , 3.19 , 7.91 , 9.63 , 11.14 , 10.58 , 11.04 , 11.64 , 13.85 , 15.23 , 16.02 , 17.27 , 16.16 
Price to earning, 10.65 , 18.82 , 10.21 , 9.02 , 12.23 , 20.10 , 20.68 , 17.35 , 26.01 , 21.43 , 21.84 , 21.84 , 17.12 
Price, 45.73 , 60.08 , 80.73 , 86.88 , 136.22 , 212.70 , 228.28 , 201.86 , 360.18 , 326.41 , 349.95 , 377.29 , 276.68 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,16.19%,46.92%,50.58%,56.07%,99.68%,89.32%,78.34%,47.27%,28.89%,55.80%,,,
OPM,23.52%,1.11%,33.91%,35.39%,40.08%,31.42%,33.94%,32.79%,32.16%,30.56%,31.29%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.61%,14.90%,11.96%,11.52%,17.71%,17.71%,11.52%
,,,,,,OPM,31.63%,33.31%,32.08%,31.74%,31.29%,31.74%,31.29%
,,,,,,Price to Earning, 17.12 , 18.58 , 21.24 , 21.66 , 21.84 , 21.84 , 17.12 
