FUTURE ENTERPRISES-DVR,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,586.38 ", -   , -   
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,493.83 ", -   , -   
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,092.55 ", -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 131.49 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 518.80 , 518.80 , 518.80 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 642.63 , 642.63 , 642.63 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 62.61 ," (1,161.43)"," (1,161.43)"
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (12.24),-20%,-20%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 74.85 ," (1,388.48)"," (1,388.48)"
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 19.01 , (352.63), (352.63)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1.78 , 1.78 , 1.78 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 33.90 , (628.85), (628.85)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.32%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,,,,,10.32%,10.32%,10.32%
,,,,,,Price to Earning, 1.78 , 1.78 , 1.78 , 1.78 , 1.78 , 1.78 , 1.78 
