ERIS LIFESCIENCES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 0.14 , 0.14 , 0.14 , 0.14 , 0.14 , 13.75 , 13.75 
Reserves, -   , -   , -   , 53.04 , 118.83 , 183.98 , 267.24 , 305.21 , 560.85 , 854.43 
Borrowings, -   , -   , -   , 1.24 , 0.39 , -   , 1.00 , 0.50 , -   , 376.08 
Other Liabilities, -   , -   , -   , 41.46 , 54.60 , 83.81 , 85.50 , 96.27 , 89.82 , 152.26 
Total, -   , -   , -   , 95.88 , 173.96 , 267.93 , 353.88 , 402.12 , 664.42 ," 1,396.52 "
,,,,,,,,,,
Net Block, -   , -   , -   , 10.64 , 14.90 , 63.85 , 61.27 , 64.79 , 91.78 , 489.75 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , 19.12 , 58.05 , 97.60 , 182.29 , 206.33 , 380.61 , 545.60 
Other Assets, -   , -   , -   , 66.12 , 101.01 , 106.48 , 110.32 , 131.00 , 192.03 , 361.17 
Total, -   , -   , -   , 95.88 , 173.96 , 267.93 , 353.88 , 402.12 , 664.42 ," 1,396.52 "
,,,,,,,,,,
Working Capital, -   , -   , -   , 24.66 , 46.41 , 22.67 , 24.82 , 34.73 , 102.21 , 208.91 
Debtors, -   , -   , -   , 14.41 , 16.60 , 22.31 , 23.62 , 25.36 , 41.30 , 60.50 
Inventory, -   , -   , -   , 23.96 , 51.97 , 45.49 , 53.83 , 49.46 , 47.20 , 57.52 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 18.40 , 14.53 , 15.65 , 15.73 , 15.29 , 21.15 , 29.03 
Inventory Turnover, -   , -   , -   , 11.93 , 8.02 , 11.44 , 10.18 , 12.24 , 15.10 , 13.22 
,,,,,,,,,,
Return on Equity,,,,81%,55%,35%,31%,45%,43%,34%
Return on Capital Emp,,,,229%,105%,59%,45%,54%,62%,35%
,,,,,,,,,,
