KPIT TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 230.30 , -   , -   
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.27 , 152.60 , -   , -   
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , (0.27), 77.70 , -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25.63 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15.77 , 15.77 , 15.77 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6.12 , 6.12 , 6.12 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , (0.27), 81.44 , (21.89), (21.89)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6.98 ,9%,9%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , (0.27), 74.46 , (20.01), (20.01)
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , (27.00), 2.72 , (0.73), (0.73)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 35.69 , 35.69 , 35.69 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 96.95 , (26.06), (26.06)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.74%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,,,,,33.74%,33.74%,33.74%
,,,,,,Price to Earning, 35.69 , 35.69 , 35.69 , 35.69 , 35.69 , 35.69 , 35.69 
