FUTURE SUPPLY CHAIN SOLUTIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 407.96 , 519.87 , 561.18 , 774.99 ," 1,138.45 "," 1,138.45 "," 1,046.50 "
Expenses, -   , -   , -   , -   , -   , -   , 344.03 , 449.93 , 486.91 , 653.77 ," 1,008.10 ", 975.64 , 926.68 
Operating Profit, -   , -   , -   , -   , -   , -   , 63.93 , 69.94 , 74.27 , 121.22 , 130.35 , 162.81 , 119.82 
Other Income, -   , -   , -   , -   , -   , -   , 2.48 , 8.60 , 15.81 , 9.42 , 5.13 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 19.52 , 20.69 , 19.14 , 23.24 , 39.85 , 39.85 , 39.85 
Interest, -   , -   , -   , -   , -   , -   , 10.33 , 13.26 , 12.76 , 8.71 , 16.49 , 16.49 , 16.49 
Profit before tax, -   , -   , -   , -   , -   , -   , 36.57 , 44.59 , 58.19 , 98.68 , 79.14 , 106.47 , 63.48 
Tax, -   , -   , -   , -   , -   , -   , 11.92 , 15.17 , 12.44 , 31.33 , 5.75 ,7%,7%
Net profit, -   , -   , -   , -   , -   , -   , 24.66 , 29.43 , 45.75 , 67.35 , 73.41 , 98.73 , 58.87 
EPS, -   , -   , -   , -   , -   , -   , 6.30 , 7.52 , 11.69 , 16.81 , 18.31 , 24.63 , 14.69 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 40.92 , 34.87 , 37.90 , 34.87 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 688.09 , 638.55 , 933.39 , 512.07 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.95%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.67%,13.45%,13.23%,15.64%,11.45%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,23.85%,46.90%,46.90%,23.85%
,,,,,,OPM,14.55%,14.55%,14.55%,14.30%,11.45%,14.30%,11.45%
,,,,,,Price to Earning, 37.90 , 37.90 , 37.90 , 37.90 , 34.87 , 37.90 , 34.87 
