EMAMI REALTY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , 0.64 , 0.93 , 1.47 , 10.09 , 10.09 , 60.64 
Expenses, -   , 10.21 , 0.42 , 0.41 , 0.47 , 0.61 , 0.77 , (23.12), (61.00), (96.61), (113.82), (599.86), (684.02)
Operating Profit, -   , (10.21), (0.42), (0.41), (0.47), (0.61), (0.77), 23.76 , 61.93 , 98.08 , 123.91 , 609.95 , 744.65 
Other Income, -   , 46.43 , 2.21 , 4.69 , 1.75 , 0.29 , 0.72 , 93.07 , 117.90 , 118.83 , 121.37 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 0.48 , 0.35 , 0.43 , 0.53 , 0.53 , 0.53 
Interest, -   , 23.29 , 1.01 , 2.99 , -   , -   , -   , 124.58 , 161.12 , 213.72 , 252.96 , 252.96 , 252.96 
Profit before tax, -   , 12.93 , 0.78 , 1.29 , 1.29 , (0.32), (0.05), (8.23), 18.37 , 2.76 , (8.21), 356.46 , 491.16 
Tax, -   , 2.25 , 0.14 , 0.26 , 0.44 , -   , 0.01 , 0.03 , 3.75 , (1.02), (4.75),0%,0%
Net profit, -   , 10.68 , 0.64 , 1.03 , 0.84 , (0.32), (0.06), (8.27), 14.62 , 3.79 , (3.44), 356.46 , 491.16 
EPS, -   , 4.40 , 0.26 , 0.42 , 0.35 , (0.13), (0.02), (3.40), 6.02 , 1.36 , (1.23), 127.58 , 175.80 
Price to earning,  ,  , 130.99 , 47.30 , 56.32 , (135.40)," (1,628.65)", (10.88), 15.40 , 221.08 , -   , 118.24 , -   
Price, -   , -   , 34.50 , 20.05 , 19.47 , 17.83 , 40.22 , 37.02 , 92.63 , 299.90 , 103.10 ," 15,085.26 ", -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3712.50%,6659.14%,6672.11%,1228.05%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,586.39%,586.39%,586.39%
,,,,,,OPM,6045.07%,6045.07%,6045.07%,6045.07%,1228.05%,6045.07%,1228.05%
,,,,,,Price to Earning, 94.22 , 85.03 , 118.24 , 118.24 , -   , 118.24 , -   
