APEX FROZEN FOODS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 255.27 , 514.26 , 599.36 , 603.53 , 698.70 , 998.63 , 874.70 ," 1,427.31 "," 1,160.90 "
Expenses, -   , -   , -   , -   , 233.08 , 481.74 , 566.39 , 563.14 , 654.32 , 888.61 , 785.08 ," 1,281.07 "," 1,072.40 "
Operating Profit, -   , -   , -   , -   , 22.19 , 32.52 , 32.97 , 40.39 , 44.38 , 110.02 , 89.62 , 146.24 , 88.49 
Other Income, -   , -   , -   , -   , 0.21 , 0.31 , 5.01 , 4.74 , 10.57 , 19.87 , 21.46 , -   , -   
Depreciation, -   , -   , -   , -   , 2.54 , 4.51 , 0.40 , 4.93 , 6.27 , 8.65 , 10.86 , 10.86 , 10.86 
Interest, -   , -   , -   , -   , 5.60 , 7.95 , 9.61 , 10.41 , 11.22 , 8.70 , 6.55 , 6.55 , 6.55 
Profit before tax, -   , -   , -   , -   , 14.28 , 20.39 , 27.95 , 29.77 , 37.44 , 112.56 , 93.67 , 128.83 , 71.08 
Tax, -   , -   , -   , -   , 4.86 , 6.96 , 9.59 , 10.49 , 12.31 , 33.45 , 32.88 ,35%,35%
Net profit, -   , -   , -   , -   , 9.42 , 13.42 , 18.36 , 19.28 , 25.13 , 79.10 , 60.78 , 83.61 , 46.13 
EPS, -   , -   , -   , -   , 6.28 , 6.71 , 7.65 , 8.03 , 10.47 , 25.31 , 19.45 , 26.75 , 14.76 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 26.27 , 15.79 , 21.03 , 15.79 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 664.99 , 307.10 , 562.66 , 233.09 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.90%,,,
OPM,0.00%,0.00%,0.00%,0.00%,8.69%,6.32%,5.50%,6.69%,6.35%,11.02%,10.25%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,31.37%,18.55%,42.93%,42.93%,18.55%
,,,,,,OPM,7.70%,7.70%,7.62%,8.47%,10.25%,10.25%,7.62%
,,,,,,Price to Earning, 21.03 , 21.03 , 21.03 , 21.03 , 15.79 , 21.03 , 15.79 
