IDFC FIRST BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   ," 3,648.83 "," 8,532.71 "," 8,930.00 "," 11,948.18 "," 11,948.18 "," 12,968.27 "
Expenses, -   , -   , -   , -   , -   , -   , 2.58 , 493.98 ," 1,419.79 "," 1,724.11 "," 4,620.18 "," 2,058.88 "," 5,014.63 "
Operating Profit, -   , -   , -   , -   , -   , -   , (2.58)," 3,154.85 "," 7,112.92 "," 7,205.89 "," 7,328.00 "," 9,889.30 "," 7,953.64 "
Other Income, -   , -   , -   , -   , -   , -   , -   , 403.17 ," 1,007.77 "," 1,116.80 "," (1,660.78)", -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 40.75 , 134.34 , 163.48 , 213.33 , 213.33 , 213.33 
Interest, -   , -   , -   , -   , -   , -   , -   ," 2,801.50 "," 6,515.39 "," 7,131.91 "," 8,749.08 "," 8,749.08 "," 8,749.08 "
Profit before tax, -   , -   , -   , -   , -   , -   , (2.58), 715.77 ," 1,470.96 "," 1,027.31 "," (3,295.19)", 926.89 ," (1,008.77)"
Tax, -   , -   , -   , -   , -   , -   , -   , 248.92 , 451.22 , 168.00 ," (1,351.01)",0%,0%
Net profit, -   , -   , -   , -   , -   , -   , (2.58), 466.85 ," 1,019.74 ", 859.30 ," (1,944.18)", 926.89 ," (1,008.77)"
EPS, -   , -   , -   , -   , -   , -   , (516.00), 1.38 , 3.00 , 2.52 , (4.07), 1.94 , (2.11)
Price to earning,  ,  ,  ,  ,  ,  ,  , 37.39 , 20.12 , 19.33 , -   , 25.61 , -   
Price, -   , -   , -   , -   , -   , -   , -   , 51.45 , 60.37 , 48.78 , 45.90 , 49.64 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.17%,25.00%,29.71%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,86.46%,83.36%,80.69%,61.33%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,33.80%,33.80%,33.80%
,,,,,,OPM,82.77%,82.77%,82.77%,82.77%,61.33%,82.77%,61.33%
,,,,,,Price to Earning, 25.61 , 25.61 , 25.61 , 25.61 , -   , 25.61 , -   
