CROMPTON GREAVES CONSUMER ELECTRICAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 , 125.35 , 125.35 , 125.36 
Reserves, -   , -   , -   , -   , -   , -   , (1.87), 103.37 , 392.40 , 664.14 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 644.45 , 647.84 , 648.55 
Other Liabilities, -   , -   , -   , -   , -   , -   , 2.86 , 784.70 , 952.19 , 991.32 
Total, -   , -   , -   , -   , -   , -   , 1.04 ," 1,657.87 "," 2,117.78 "," 2,429.37 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 858.01 , 861.51 , 861.58 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 0.07 , 0.05 , 0.61 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 318.87 , 367.58 
Other Assets, -   , -   , -   , -   , -   , -   , 1.04 , 799.79 , 937.35 ," 1,199.60 "
Total, -   , -   , -   , -   , -   , -   , 1.04 ," 1,657.87 "," 2,117.78 "," 2,429.37 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , (1.82), 15.09 , (14.84), 208.28 
Debtors, -   , -   , -   , -   , -   , -   , -   , 416.51 , 472.82 , 553.64 
Inventory, -   , -   , -   , -   , -   , -   , -   , 209.98 , 273.35 , 303.24 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 85.25 , 44.24 , 49.53 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 8.49 , 14.27 , 13.45 
,,,,,,,,,,
Return on Equity,,,,,,,,46%,55%,41%
Return on Capital Emp,,,,,,,,44%,48%,42%
,,,,,,,,,,
