AIRAN LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 4.60 , 4.60 , 4.60 , 4.60 , 4.60 , 12.50 , 12.50 
Reserves, -   , -   , -   , 10.44 , 11.25 , 12.12 , 12.81 , 14.22 , 23.47 , 67.31 
Borrowings, -   , -   , -   , 3.43 , 2.58 , 3.90 , 9.91 , 8.39 , 12.66 , 8.68 
Other Liabilities, -   , -   , -   , 0.94 , 1.26 , 2.25 , 2.48 , 3.04 , 2.01 , 3.68 
Total, -   , -   , -   , 19.41 , 19.69 , 22.87 , 29.80 , 30.25 , 50.64 , 92.17 
,,,,,,,,,,
Net Block, -   , -   , -   , 7.97 , 8.28 , 9.19 , 12.69 , 13.73 , 15.26 , 54.89 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 0.49 , 0.87 , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , 4.04 , -   , 12.68 
Other Assets, -   , -   , -   , 11.44 , 11.41 , 13.68 , 16.62 , 11.61 , 35.38 , 24.60 
Total, -   , -   , -   , 19.41 , 19.69 , 22.87 , 29.80 , 30.25 , 50.64 , 92.17 
,,,,,,,,,,
Working Capital, -   , -   , -   , 10.50 , 10.15 , 11.43 , 14.14 , 8.57 , 33.37 , 20.92 
Debtors, -   , -   , -   , 2.38 , 2.31 , 4.48 , 6.87 , 5.74 , 13.96 , 7.63 
Inventory, -   , -   , -   , 0.03 , 0.04 , 0.31 , 0.41 , 0.28 , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , 87.48 , 75.21 , 113.95 , 130.94 , 80.80 , 176.49 , 83.88 
Inventory Turnover, -   , -   , -   , 331.00 , 280.25 , 46.29 , 46.71 , 92.61 , -   , -   
,,,,,,,,,,
Return on Equity,,,,5%,5%,5%,5%,7%,6%,6%
Return on Capital Emp,,,,16%,8%,8%,6%,10%,11%,11%
,,,,,,,,,,
