CAPACITE INFRAPROJECTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 3.00 , 4.02 , 4.94 , 5.76 , 40.29 , 67.89 
Reserves, -   , -   , -   , -   , 3.18 , 14.58 , 51.95 , 162.60 , 255.20 , 681.60 
Borrowings, -   , -   , -   , -   , 8.29 , 84.09 , 109.34 , 173.74 , 195.28 , 238.93 
Other Liabilities, -   , -   , -   , -   , 21.91 , 190.34 , 333.79 , 504.52 , 587.31 , 745.26 
Total, -   , -   , -   , -   , 36.38 , 293.03 , 500.02 , 846.62 ," 1,078.08 "," 1,733.68 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 5.77 , 83.83 , 165.51 , 229.04 , 325.67 , 409.91 
Capital Work in Progress, -   , -   , -   , -   , -   , 0.33 , -   , 8.33 , 6.73 , 0.06 
Investments, -   , -   , -   , -   , 1.37 , 6.43 , 6.44 , 1.44 , 0.59 , 19.67 
Other Assets, -   , -   , -   , -   , 29.24 , 202.44 , 328.07 , 607.81 , 745.09 ," 1,304.04 "
Total, -   , -   , -   , -   , 36.38 , 293.03 , 500.02 , 846.62 ," 1,078.08 "," 1,733.68 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , 7.33 , 12.10 , (5.72), 103.29 , 157.78 , 558.78 
Debtors, -   , -   , -   , -   , 0.28 , 74.80 , 144.17 , 264.52 , 357.77 , 414.66 
Inventory, -   , -   , -   , -   , 5.20 , 38.06 , 99.80 , 200.50 , 170.41 , 215.56 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 39.16 , 157.36 , 104.17 , 120.09 , 116.07 , 113.32 
Inventory Turnover, -   , -   , -   , -   , 0.50 , 4.56 , 5.06 , 4.01 , 6.60 , 6.20 
,,,,,,,,,,
Return on Equity,,,,,-38%,27%,54%,28%,23%,11%
Return on Capital Emp,,,,,-28%,23%,43%,40%,35%,22%
,,,,,,,,,,
