C & C CONSTRUCTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.26 , 23.39 , 23.39 , 25.45 , 25.45 , 25.45 , 25.45 , 25.45 , 25.45 , 25.45 
Reserves, 330.97 , 504.17 , 548.73 , 524.04 , 329.74 , 252.68 , 62.73 , 43.44 , 117.89 , 159.51 
Borrowings, 608.94 , 709.13 , 970.81 ," 1,164.33 "," 1,587.16 "," 1,276.95 "," 1,306.44 "," 1,147.07 "," 1,283.19 "," 1,142.42 "
Other Liabilities, 501.02 , 688.56 , 795.83 , 973.33 , 793.60 ," 1,162.16 ", 994.84 ," 1,152.59 ", 942.66 ," 1,203.98 "
Total," 1,459.19 "," 1,925.25 "," 2,338.76 "," 2,687.15 "," 2,735.95 "," 2,717.24 "," 2,389.46 "," 2,368.55 "," 2,369.19 "," 2,531.36 "
,,,,,,,,,,
Net Block, 316.15 , 373.72 , 355.25 , 390.28 , 374.43 , 357.44 , 300.11 , 260.34 , 223.61 , 176.14 
Capital Work in Progress, 9.91 , 9.65 , 19.61 , 11.99 , 4.85 , 3.91 , 4.27 , 3.68 , 3.12 , -   
Investments, 49.70 , 150.16 , 237.08 , 276.95 , 276.95 , 241.29 , 220.67 , 220.67 , 220.67 , 225.61 
Other Assets," 1,083.43 "," 1,391.72 "," 1,726.82 "," 2,007.93 "," 2,079.72 "," 2,114.60 "," 1,864.41 "," 1,883.86 "," 1,921.79 "," 2,129.61 "
Total," 1,459.19 "," 1,925.25 "," 2,338.76 "," 2,687.15 "," 2,735.95 "," 2,717.24 "," 2,389.46 "," 2,368.55 "," 2,369.19 "," 2,531.36 "
,,,,,,,,,,
Working Capital, 582.41 , 703.16 , 930.99 ," 1,034.60 "," 1,286.12 ", 952.44 , 869.57 , 731.27 , 979.13 , 925.63 
Debtors, 349.66 , 156.05 , 254.61 , 240.49 , 306.17 , 287.34 , 232.44 , 225.17 , 266.81 , 344.50 
Inventory, 340.81 , 868.44 ," 1,074.40 "," 1,071.58 ", 470.22 , 425.13 , 340.86 , 391.50 , 184.11 , 184.56 
,,,,,,,,,,
Debtor Days, 170.14 , 48.75 , 71.96 , 76.45 , 111.70 , 81.78 , 83.72 , 107.11 , 102.66 , 133.30 
Inventory Turnover, 2.20 , 1.35 , 1.20 , 1.07 , 2.13 , 3.02 , 2.97 , 1.96 , 5.15 , 5.11 
,,,,,,,,,,
Return on Equity,12%,13%,9%,-13%,-55%,-28%,-215%,-28%,25%,22%
Return on Capital Emp,,18%,17%,7%,0%,7%,-1%,8%,15%,15%
,,,,,,,,,,
