GUJARAT SIDHEE CEMENT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 570.15 , 645.72 , 350.15 , 438.88 , 445.71 , 409.75 , 484.03 , 469.07 , 434.39 , 536.35 , 563.01 , 662.24 , 532.54 
Expenses, 511.89 , 551.52 , 357.79 , 423.05 , 395.77 , 406.78 , 476.39 , 474.16 , 467.17 , 503.32 , 574.33 , 647.05 , 532.54 
Operating Profit, 58.26 , 94.20 , (7.64), 15.83 , 49.94 , 2.97 , 7.64 , (5.09), (32.78), 33.03 , (11.32), 15.19 , -   
Other Income, 40.16 , 6.34 , 9.60 , 4.79 , 16.15 , 8.10 , 1.76 , 6.67 , 11.53 , 11.51 , 15.17 , -   , -   
Depreciation, 9.61 , 7.34 , 5.51 , 6.14 , 6.53 , 7.66 , 11.48 , 8.81 , 9.39 , 9.51 , 9.78 , 9.78 , 9.78 
Interest, 1.73 , 2.26 , 2.55 , 2.86 , 1.72 , 3.00 , 4.72 , 4.68 , 3.02 , 3.12 , 6.61 , 6.61 , 6.61 
Profit before tax, 87.08 , 91.00 , (6.04), 11.70 , 57.85 , 0.41 , (6.80), (11.90), (33.65), 31.90 , (12.54), (1.20), (16.39)
Tax, 38.29 , 33.71 , (3.01), 6.18 , 17.53 , 3.13 , (2.31), (4.68), (1.51), (1.36), (5.59),0%,0%
Net profit, 48.79 , 57.29 , (3.03), 5.52 , 40.31 , (2.72), (4.49), (7.22), (32.14), 33.26 , (6.97), (1.20), (16.39)
EPS, 3.37 , 3.96 , (0.21), 0.38 , 2.78 , (0.19), (0.31), (0.50), (2.22), 2.30 , (0.80), (0.14), (1.89)
Price to earning, 3.22 , 4.16 , (61.56), 22.99 ,  , (87.26), (81.53), (56.91), (13.70), 13.20 , -   , 13.20 , -   
Price, 10.85 , 16.47 , 12.88 , 8.76 , -   , 16.39 , 25.27 , 28.37 , 30.40 , 30.32 , 22.85 , (1.82), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,8.98%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,10.22%,14.59%,0.00%,3.61%,11.20%,0.72%,1.58%,0.00%,0.00%,6.16%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.68%,6.28%,3.77%,3.48%,23.47%,23.47%,-0.68%
,,,,,,OPM,5.47%,3.40%,1.87%,2.29%,0.00%,2.29%,0.00%
,,,,,,Price to Earning, 10.89 , 18.10 , 13.20 , 13.20 , -   , 13.20 , -   
