E-LAND APPAREL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Sep-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 301.13 , 355.80 , 427.32 , 304.87 , 129.00 , 321.83 , 175.03 , 234.54 , 215.35 , 183.51 , 172.02 , 186.43 , 163.94 
Expenses, 270.44 , 304.11 , 389.77 , 537.59 , 144.19 , 391.40 , 200.11 , 250.81 , 258.68 , 203.36 , 176.54 , 186.43 , 163.94 
Operating Profit, 30.69 , 51.69 , 37.55 , (232.72), (15.19), (69.57), (25.08), (16.27), (43.33), (19.85), (4.52), -   , -   
Other Income, 10.28 , 4.12 , 2.59 , 2.53 , 3.71 , 96.81 , 18.61 , 4.00 , 0.85 , (34.06), 4.05 , -   , -   
Depreciation, 7.98 , 16.16 , 26.19 , 41.15 , 12.48 , 24.90 , 2.65 , 2.59 , 3.66 , 2.09 , 1.94 , 1.94 , 1.94 
Interest, 12.90 , 22.22 , 41.72 , 69.42 , 28.39 , 37.16 , 4.14 , 3.83 , 34.07 , 22.41 , 39.10 , 39.10 , 39.10 
Profit before tax, 20.09 , 17.43 , (27.77), (340.76), (52.35), (34.83), (13.25), (18.67), (80.21), (78.42), (41.51), (41.04), (41.04)
Tax, 6.37 , 6.83 , (2.51), (13.14), 2.89 , (21.49), 25.77 , -   , -   , -   , -   ,0%,0%
Net profit, 13.72 , 10.60 , (25.26), (327.62), (55.24), (13.33), (39.02), (18.67), (80.21), (78.42), (41.51), (41.04), (41.04)
EPS, 3.81 , 2.95 , (5.26), (68.27), (11.51), (2.78), (8.13), (3.89), (16.71), (16.34), (8.65), (8.55), (8.55)
Price to earning, 4.49 , 14.95 , (10.68), (0.24), (0.97), (3.89), (2.82), (8.88), (1.47), (0.76), -   , -   , -   
Price, 17.12 , 44.04 , 56.23 , 16.33 , 11.18 , 10.79 , 22.90 , 34.56 , 24.61 , 12.44 , 6.80 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,15.74%,20.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,10.19%,14.53%,8.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-5.35%,-11.37%,7.30%,1.59%,-6.26%,1.59%,-11.37%
,,,,,,OPM,4.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 9.72 ,  ,  ,  , -   , -   , -   
