MARAL OVERSEAS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 503.49 , 189.33 , 510.39 , 535.91 , 558.89 , 653.35 , 648.43 , 618.83 , 666.43 , 640.72 , 757.14 , 757.14 , 637.71 
Expenses, 498.12 , 177.46 , 460.91 , 497.41 , 500.91 , 565.45 , 590.18 , 572.61 , 620.80 , 615.38 , 721.18 , 711.07 , 607.42 
Operating Profit, 5.37 , 11.87 , 49.48 , 38.50 , 57.98 , 87.90 , 58.25 , 46.22 , 45.63 , 25.34 , 35.96 , 46.07 , 30.29 
Other Income, 24.37 , 14.15 , 7.41 , 5.45 , 7.75 , 0.02 , 13.97 , 11.90 , 15.39 , 12.35 , 14.68 , -   , -   
Depreciation, 31.25 , 9.79 , 19.24 , 19.02 , 18.89 , 38.11 , 35.40 , 25.26 , 22.59 , 18.40 , 20.32 , 20.32 , 20.32 
Interest, 39.96 , 12.64 , 23.29 , 26.88 , 22.67 , 18.64 , 19.25 , 19.26 , 17.90 , 18.68 , 16.98 , 16.98 , 16.98 
Profit before tax, (41.47), 3.59 , 12.87 , (1.95), 24.18 , 31.15 , 17.57 , 13.60 , 20.54 , 0.60 , 13.34 , 8.77 , (7.01)
Tax, 0.40 , 0.09 , -   , -   , -   , 1.69 , 0.87 , 3.39 , 6.70 , (0.39), 5.21 ,39%,39%
Net profit, (41.87), 3.50 , 12.87 , (1.95), 24.18 , 29.47 , 16.70 , 10.21 , 13.83 , 0.99 , 8.13 , 5.34 , (4.27)
EPS, (19.24), 0.84 , 3.10 , (0.47), 5.83 , 7.10 , 4.02 , 2.46 , 3.33 , 0.24 , 1.96 , 1.29 , (1.03)
Price to earning, (0.51), 18.50 , 5.18 , (20.03), 1.89 , 2.77 , 8.08 , 11.19 , 13.74 , 148.64 , 12.94 , 46.63 , 12.94 
Price, 9.73 , 15.60 , 16.06 , 9.41 , 10.98 , 19.70 , 32.49 , 27.53 , 45.79 , 35.45 , 25.35 , 60.04 , (13.33)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,1.07%,6.27%,9.69%,7.18%,10.37%,13.45%,8.98%,7.47%,6.85%,3.95%,4.75%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.71%,3.30%,2.77%,-0.40%,18.17%,18.17%,-0.40%
,,,,,,OPM,7.72%,8.32%,8.16%,6.08%,4.75%,6.08%,4.75%
,,,,,,Price to Earning, 24.77 , 28.46 , 32.89 , 46.63 , 12.94 , 46.63 , 12.94 
