INDOWIND ENERGY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 47.74 , 49.74 , 49.74 , 89.74 , 89.74 , 89.74 , 89.74 , 89.74 , 89.74 , 89.74 
Reserves, 81.61 , 101.84 , 85.85 , 125.15 , 115.62 , 80.77 , 80.89 , 83.15 , 143.12 , 122.12 
Borrowings, 154.28 , 177.01 , 164.82 , 204.61 , 82.51 , 79.19 , 76.66 , 73.89 , 100.00 , 90.53 
Other Liabilities, 58.28 , 21.01 , 18.20 , 8.68 , 97.08 , 71.94 , 70.07 , 69.94 , 8.11 , 10.28 
Total, 341.91 , 349.60 , 318.61 , 428.18 , 384.95 , 321.64 , 317.36 , 316.72 , 340.97 , 312.67 
,,,,,,,,,,
Net Block, 137.26 , 124.87 , 145.62 , 155.06 , 148.40 , 156.90 , 150.79 , 194.12 , 222.85 , 193.19 
Capital Work in Progress, 81.57 , 81.39 , -   , -   , -   , 47.18 , 46.35 , 64.03 , 47.78 , 60.96 
Investments, 2.72 , 3.72 , 3.76 , 4.46 , 4.51 , 4.56 , 6.96 , 9.21 , 10.76 , 11.10 
Other Assets, 120.36 , 139.62 , 169.23 , 268.66 , 232.04 , 113.00 , 113.26 , 49.36 , 59.58 , 47.42 
Total, 341.91 , 349.60 , 318.61 , 428.18 , 384.95 , 321.64 , 317.36 , 316.72 , 340.97 , 312.67 
,,,,,,,,,,
Working Capital, 62.08 , 118.61 , 151.03 , 259.98 , 134.96 , 41.06 , 43.19 , (20.58), 51.47 , 37.14 
Debtors, 7.97 , 8.17 , 28.58 , 11.45 , 5.97 , 1.06 , 4.34 , 4.06 , 10.05 , 6.59 
Inventory, 42.28 , 55.13 , 9.08 , 5.68 , 4.19 , 3.69 , 3.72 , 3.26 , 1.43 , 0.14 
,,,,,,,,,,
Debtor Days, 47.74 , 47.23 , 218.56 , 143.96 , 99.32 , 17.59 , 83.42 , 94.99 , 153.23 , 99.23 
Inventory Turnover, 1.44 , 1.15 , 5.26 , 5.11 , 5.24 , 5.96 , 5.10 , 4.79 , 16.74 , 173.14 
,,,,,,,,,,
Return on Equity,1%,10%,3%,2%,2%,0%,0%,0%,-1%,-10%
Return on Capital Emp,,4%,2%,2%,2%,2%,3%,3%,1%,-5%
,,,,,,,,,,
