DIC INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 9.18 , 9.18 , 9.18 , 9.18 , 9.18 , 9.18 , 9.18 , 9.18 , 9.18 , 9.18 
Reserves, 189.16 , 234.55 , 256.73 , 273.96 , 282.20 , 251.31 , 274.53 , 292.95 , 280.57 , 270.70 
Borrowings, 42.67 , 11.48 , 22.70 , 34.04 , 23.29 , 35.18 , 2.48 , -   , 35.00 , 50.71 
Other Liabilities, 81.81 , 108.12 , 138.39 , 138.46 , 134.73 , 146.26 , 122.14 , 147.23 , 167.08 , 271.50 
Total, 322.82 , 363.33 , 427.00 , 455.64 , 449.40 , 441.93 , 408.33 , 449.36 , 491.83 , 602.09 
,,,,,,,,,,
Net Block, 67.00 , 71.46 , 76.24 , 95.08 , 96.94 , 86.77 , 70.72 , 68.93 , 53.78 , 57.28 
Capital Work in Progress, 8.67 , 5.76 , 13.44 , 6.76 , 0.63 , 2.24 , 2.39 , 3.60 , 6.59 , 3.03 
Investments, 10.75 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 236.40 , 286.11 , 337.32 , 353.80 , 351.83 , 352.92 , 335.22 , 376.83 , 431.46 , 541.78 
Total, 322.82 , 363.33 , 427.00 , 455.64 , 449.40 , 441.93 , 408.33 , 449.36 , 491.83 , 602.09 
,,,,,,,,,,
Working Capital, 154.59 , 177.99 , 198.93 , 215.34 , 217.10 , 206.66 , 213.08 , 229.60 , 264.38 , 270.28 
Debtors, 126.92 , 149.14 , 188.43 , 202.34 , 202.67 , 200.86 , 205.97 , 196.17 , 220.27 , 244.98 
Inventory, 59.23 , 85.44 , 103.53 , 114.54 , 108.39 , 111.99 , 101.44 , 116.22 , 121.72 , 139.41 
,,,,,,,,,,
Debtor Days, 101.12 , 98.44 , 101.59 , 103.15 , 103.94 , 101.51 , 100.30 , 101.24 , 108.90 , 106.71 
Inventory Turnover, 7.73 , 6.47 , 6.54 , 6.25 , 6.57 , 6.45 , 7.39 , 6.09 , 6.07 , 6.01 
,,,,,,,,,,
Return on Equity,11%,21%,10%,8%,4%,-12%,10%,8%,-4%,-3%
Return on Capital Emp,,27%,16%,12%,5%,-11%,16%,11%,-4%,0%
,,,,,,,,,,
