ARMAN FINANCIAL SERVICES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 4.08 , 4.08 , 4.08 , 4.08 , 5.65 , 6.92 , 6.92 , 6.92 , 6.92 , 6.92 
Reserves, 3.25 , 3.75 , 5.19 , 7.88 , 16.94 , 25.68 , 27.42 , 28.75 , 31.24 , 33.28 
Borrowings, 9.79 , 19.35 , 39.62 , 36.15 , 57.64 , 42.64 , 48.31 , 38.05 , 46.67 , 101.32 
Other Liabilities, 0.50 , 0.86 , 1.32 , 17.17 , 2.22 , 2.15 , 2.30 , 2.68 , 3.58 , 4.63 
Total, 17.62 , 28.04 , 50.21 , 65.28 , 82.45 , 77.39 , 84.95 , 76.40 , 88.41 , 146.15 
,,,,,,,,,,
Net Block, 0.81 , 1.00 , 1.10 , 1.07 , 1.04 , 1.79 , 1.53 , 1.65 , 1.50 , 1.45 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , 0.02 , -   , 2.00 , 5.00 , 10.00 , 10.00 , 10.42 , 15.42 , 22.42 
Other Assets, 16.81 , 27.02 , 49.11 , 62.21 , 76.41 , 65.60 , 73.42 , 64.33 , 71.49 , 122.28 
Total, 17.62 , 28.04 , 50.21 , 65.28 , 82.45 , 77.39 , 84.95 , 76.40 , 88.41 , 146.15 
,,,,,,,,,,
Working Capital, 16.31 , 26.16 , 47.79 , 45.04 , 74.19 , 63.45 , 71.12 , 61.65 , 67.91 , 117.65 
Debtors, 0.70 , 0.78 , 0.52 , 0.56 , 0.57 , 0.77 , 1.13 , 1.63 , 2.09 , 3.16 
Inventory, 0.02 , 0.03 , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 58.07 , 50.75 , 16.62 , 13.19 , 12.43 , 15.37 , 27.06 , 37.37 , 46.07 , 42.23 
Inventory Turnover, 220.00 , 187.00 , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,9%,10%,20%,26%,15%,10%,8%,7%,7%,8%
Return on Capital Emp,,14%,18%,21%,17%,15%,12%,12%,11%,14%
,,,,,,,,,,
