GUJARAT GAS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   ," 7,797.42 "," 9,006.26 "," 6,105.58 "," 5,092.61 "," 6,174.33 "," 7,754.41 "," 7,754.41 "," 5,257.42 "
Expenses, -   , -   , -   , -   , 2.21 ," 7,216.22 "," 7,896.31 "," 5,370.75 "," 4,335.36 "," 5,266.41 "," 6,769.77 "," 6,683.14 "," 4,628.07 "
Operating Profit, -   , -   , -   , -   , (2.21), 581.20 ," 1,109.95 ", 734.83 , 757.25 , 907.92 , 984.64 ," 1,071.27 ", 629.35 
Other Income, -   , -   , -   , -   , 2.27 , 107.41 , 103.53 , 9.97 , 16.56 , 27.87 , 93.41 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 282.64 , 237.68 , 245.42 , 257.33 , 271.82 , 288.01 , 288.01 , 288.01 
Interest, -   , -   , -   , -   , 3.24 , 313.77 , 334.36 , 249.62 , 218.00 , 206.20 , 196.19 , 196.19 , 196.19 
Profit before tax, -   , -   , -   , -   , (3.18), 92.20 , 641.44 , 253.71 , 303.33 , 462.84 , 593.85 , 587.07 , 145.15 
Tax, -   , -   , -   , -   , 0.69 , 63.77 , 197.86 , 65.38 , 83.83 , 171.48 , 176.82 ,30%,30%
Net profit, -   , -   , -   , -   , (3.87), 28.43 , 443.58 , 188.33 , 219.50 , 291.36 , 417.03 , 412.27 , 101.93 
EPS, -   , -   , -   , -   , (154.80), 0.41 , 6.44 , 2.74 , 3.19 , 4.23 , 6.06 , 5.99 , 1.48 
Price to earning,  ,  ,  ,  ,  ,  ,  , 39.32 , 50.87 , 40.62 , 28.07 , 39.72 , 28.07 
Price, -   , -   , -   , -   , -   , -   , -   , 107.57 , 162.21 , 171.91 , 170.05 , 237.87 , 41.56 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,435.84%,15.52%,18.28%,18.82%,18.90%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,7.45%,12.32%,12.04%,14.87%,14.70%,12.70%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,-11.82%,25.59%,25.59%,-11.82%
,,,,,,OPM,11.97%,11.97%,11.97%,13.81%,12.70%,13.81%,11.97%
,,,,,,Price to Earning, 39.72 , 39.72 , 39.72 , 39.72 , 28.07 , 39.72 , 28.07 
