HEXAWARE TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 28.73 , 29.04 , 58.67 , 59.31 , 59.98 , 60.19 , 60.31 , 60.41 , 59.36 , 59.47 
Reserves, 734.17 , 845.16 , 799.87 , 925.30 , 828.55 , 977.15 ," 1,049.64 "," 1,283.88 "," 1,482.33 "," 1,677.61 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 201.35 , 216.02 , 381.46 , 334.02 , 584.62 , 409.44 , 396.52 , 339.76 , 220.59 , 282.99 
Total, 964.25 ," 1,090.22 "," 1,240.00 "," 1,318.63 "," 1,473.15 "," 1,446.78 "," 1,506.47 "," 1,684.05 "," 1,762.28 "," 2,020.07 "
,,,,,,,,,,
Net Block, 136.23 , 145.43 , 212.45 , 251.23 , 301.89 , 310.33 , 301.04 , 268.03 , 349.57 , 377.50 
Capital Work in Progress, 125.74 , 96.84 , 79.87 , 75.68 , 21.25 , 34.65 , 110.54 , 323.61 , 257.17 , 225.30 
Investments, 328.01 , 244.12 , 229.84 , 435.99 , 534.12 , 378.66 , 242.66 , 218.59 , 221.76 , 200.06 
Other Assets, 374.27 , 603.83 , 717.84 , 555.73 , 615.89 , 723.14 , 852.23 , 873.82 , 933.78 ," 1,217.21 "
Total, 964.25 ," 1,090.22 "," 1,240.00 "," 1,318.63 "," 1,473.15 "," 1,446.78 "," 1,506.47 "," 1,684.05 "," 1,762.28 "," 2,020.07 "
,,,,,,,,,,
Working Capital, 172.92 , 387.81 , 336.38 , 221.71 , 31.27 , 313.70 , 455.71 , 534.06 , 713.19 , 934.22 
Debtors, 64.66 , 107.71 , 196.43 , 252.11 , 238.80 , 340.30 , 397.10 , 273.36 , 414.23 , 536.35 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 48.53 , 92.80 , 105.66 , 100.85 , 85.46 , 107.58 , 112.05 , 71.62 , 99.20 , 109.12 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,16%,11%,27%,29%,38%,31%,30%,26%,27%,26%
Return on Capital Emp,,13%,30%,37%,44%,40%,38%,36%,34%,34%
,,,,,,,,,,
