GILLETTE INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Jun-16,Jun-17,Jun-18,Trailing,Best Case,Worst Case
Sales, 652.39 , 842.57 ," 1,046.98 "," 1,220.06 "," 1,424.09 "," 1,661.90 "," 1,874.54 "," 1,754.71 "," 1,732.79 "," 1,672.47 "," 1,807.44 "," 1,807.44 "," 1,605.04 "
Expenses, 509.83 , 646.99 , 935.55 ," 1,124.97 "," 1,303.77 "," 1,591.53 "," 1,684.00 "," 1,448.97 "," 1,348.35 "," 1,290.02 "," 1,396.70 "," 1,396.70 "," 1,385.82 "
Operating Profit, 142.56 , 195.58 , 111.43 , 95.09 , 120.32 , 70.37 , 190.54 , 305.74 , 384.44 , 382.45 , 410.74 , 410.74 , 219.22 
Other Income, 36.72 , 19.81 , 30.96 , 32.94 , 35.64 , 37.75 , 67.87 , 50.07 , 34.16 , 7.52 , 19.75 , -   , -   
Depreciation, 11.37 , 12.50 , 19.81 , 23.89 , 31.32 , 32.98 , 38.88 , 30.27 , 38.35 , 42.29 , 46.74 , 46.74 , 46.74 
Interest, 0.03 , 0.04 , 0.01 , 0.01 , 0.02 , 0.36 , 4.65 , 5.55 , 6.74 , 7.46 , 8.05 , 8.05 , 8.05 
Profit before tax, 177.01 , 212.76 , 133.97 , 116.97 , 138.25 , 77.51 , 215.05 , 320.47 , 374.32 , 344.60 , 375.70 , 355.95 , 164.43 
Tax, 63.88 , 75.67 , 47.82 , 41.24 , 51.09 , 26.09 , 56.92 , 106.29 , 121.24 , 115.55 , 133.98 ,36%,36%
Net profit, 113.13 , 137.09 , 86.15 , 75.73 , 87.16 , 51.42 , 158.13 , 214.18 , 253.08 , 229.05 , 241.72 , 229.01 , 105.79 
EPS, 34.72 , 42.07 , 26.44 , 23.24 , 26.75 , 15.78 , 48.53 , 65.73 , 77.67 , 70.29 , 74.17 , 70.27 , 32.46 
Price to earning, 23.85 , 42.59 , 82.76 , 100.84 , 84.50 , 140.37 , 99.20 , 71.74 , 66.22 , 93.40 , 94.99 , 94.99 , 81.59 
Price, 828.14 ," 1,791.74 "," 2,188.04 "," 2,343.58 "," 2,260.19 "," 2,215.14 "," 4,813.96 "," 4,715.54 "," 5,142.92 "," 6,565.40 "," 7,045.65 "," 6,675.27 "," 2,648.55 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,36.01%,35.66%,56.74%,64.55%,56.08%,95.06%,30.91%,60.14%,211.19%,32.73%,,,
OPM,21.85%,23.21%,10.64%,7.79%,8.45%,4.23%,10.16%,17.42%,22.19%,22.87%,22.72%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.03%,6.92%,3.27%,-3.73%,8.07%,8.07%,-3.73%
,,,,,,OPM,14.40%,13.66%,15.33%,20.79%,22.72%,22.72%,13.66%
,,,,,,Price to Earning, 81.86 , 93.91 , 94.32 , 81.59 , 94.99 , 94.99 , 81.59 
