FIEM INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 217.45 , 293.27 , 420.75 , 533.10 , 601.16 , 716.93 , 823.30 , 985.35 ," 1,014.14 "," 1,238.35 "," 1,443.99 "," 1,512.13 "," 1,448.83 "
Expenses, 197.91 , 265.83 , 382.80 , 465.32 , 531.12 , 628.45 , 720.75 , 858.37 , 896.79 ," 1,098.09 "," 1,288.72 "," 1,332.52 "," 1,293.04 "
Operating Profit, 19.54 , 27.44 , 37.95 , 67.78 , 70.04 , 88.48 , 102.55 , 126.98 , 117.35 , 140.26 , 155.27 , 179.61 , 155.79 
Other Income, 1.01 , 0.81 , 0.26 , 0.17 , 0.18 , 0.67 , 0.78 , 0.97 , (9.48), 8.34 , 0.86 , -   , -   
Depreciation, 8.82 , 9.25 , 12.98 , 16.88 , 18.35 , 21.79 , 30.63 , 33.03 , 39.23 , 44.32 , 48.92 , 48.92 , 48.92 
Interest, 4.00 , 3.33 , 9.50 , 20.76 , 12.93 , 14.44 , 12.04 , 15.77 , 23.24 , 22.72 , 22.10 , 22.10 , 22.10 
Profit before tax, 7.73 , 15.67 , 15.73 , 30.31 , 38.94 , 52.91 , 60.66 , 79.16 , 45.39 , 81.57 , 85.11 , 108.59 , 84.77 
Tax, 3.12 , 4.92 , 4.30 , 9.17 , 11.63 , 15.52 , 18.40 , 21.97 , 12.57 , 29.02 , 29.62 ,35%,35%
Net profit, 4.61 , 10.75 , 11.43 , 21.14 , 27.31 , 37.40 , 42.26 , 57.18 , 32.82 , 52.55 , 55.49 , 70.80 , 55.27 
EPS, 3.85 , 8.99 , 9.56 , 17.67 , 22.83 , 31.27 , 35.33 , 47.80 , 24.94 , 39.93 , 42.17 , 53.80 , 42.00 
Price to earning, 12.25 , 12.19 , 17.42 , 8.05 , 8.34 , 13.25 , 18.31 , 17.85 , 40.90 , 23.26 , 10.77 , 23.19 , 10.77 
Price, 47.22 , 109.57 , 166.49 , 142.22 , 190.42 , 414.13 , 646.73 , 853.35 ," 1,019.91 ", 928.76 , 454.25 ," 1,247.85 ", 452.44 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,64.86%,27.81%,26.16%,16.98%,17.50%,19.20%,19.81%,16.74%,32.08%,22.53%,,,
OPM,8.99%,9.36%,9.02%,12.71%,11.65%,12.34%,12.46%,12.89%,11.57%,11.33%,10.75%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,21.32%,16.67%,15.55%,14.58%,22.11%,22.11%,14.58%
,,,,,,OPM,11.67%,12.07%,12.05%,11.88%,10.75%,11.88%,10.75%
,,,,,,Price to Earning, 16.60 , 17.59 , 20.72 , 23.19 , 10.77 , 23.19 , 10.77 
