HIND SYNTEX LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.89 , 10.89 , 12.73 , 12.73 , 12.73 , 12.73 , 12.73 , 12.73 , 12.73 , 12.73 
Reserves, (19.97), (27.32), (29.59), (40.17), (4.66), (5.99), (5.83), (5.69), (6.07), (8.53)
Borrowings, 67.60 , 74.89 , 53.22 , 53.81 , -   , -   , -   , -   , 0.08 , -   
Other Liabilities, 13.06 , 5.14 , 31.43 , 32.04 , 22.47 , 25.84 , 18.24 , 14.68 , 18.74 , 17.91 
Total, 71.58 , 63.60 , 67.79 , 58.41 , 30.54 , 32.58 , 25.14 , 21.72 , 25.48 , 22.11 
,,,,,,,,,,
Net Block, 41.96 , 38.26 , 34.57 , 23.83 , 16.85 , 17.70 , 16.90 , 16.77 , 16.78 , 16.12 
Capital Work in Progress, -   , -   , -   , -   , 0.36 , -   , 0.06 , 0.05 , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 29.62 , 25.34 , 33.22 , 34.58 , 13.33 , 14.88 , 8.18 , 4.90 , 8.70 , 5.99 
Total, 71.58 , 63.60 , 67.79 , 58.41 , 30.54 , 32.58 , 25.14 , 21.72 , 25.48 , 22.11 
,,,,,,,,,,
Working Capital, 16.56 , 20.20 , 1.79 , 2.54 , (9.14), (10.96), (10.06), (9.78), (10.04), (11.92)
Debtors, 2.04 , 3.97 , 7.00 , 6.13 , 0.02 , 1.58 , 0.03 , 0.01 , 0.05 , 0.10 
Inventory, 10.07 , 9.63 , 15.48 , 12.80 , 4.06 , 3.26 , 1.08 , 0.94 , 0.86 , 1.99 
,,,,,,,,,,
Debtor Days, 11.98 , 19.70 , 24.16 , 19.52 , 0.05 , 23.98 , 0.29 , 0.09 , 0.45 , 0.85 
Inventory Turnover, 6.17 , 7.64 , 6.83 , 8.95 , 36.64 , 7.38 , 35.44 , 43.06 , 47.01 , 21.54 
,,,,,,,,,,
Return on Equity,,,,,223%,-26%,3%,2%,-9%,-66%
Return on Capital Emp,,-1%,10%,-9%,126%,-23%,3%,2%,-8%,-51%
,,,,,,,,,,
