HEALTHCARE GLOBAL ENTERPRISES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 52.05 , 53.30 , 59.27 , 66.89 , 68.25 , 69.98 , 85.08 , 85.71 , 86.90 
Reserves, -   , 83.26 , 107.37 , 148.61 , 216.90 , 191.92 , 200.83 , 434.89 , 459.48 , 551.54 
Borrowings, -   , 23.03 , 106.48 , 171.53 , 263.27 , 254.16 , 310.84 , 193.78 , 218.09 , 263.48 
Other Liabilities, -   , 22.03 , 53.21 , 56.86 , 96.59 , 99.49 , 154.21 , 183.28 , 210.68 , 258.68 
Total, -   , 180.37 , 320.36 , 436.27 , 643.65 , 613.82 , 735.86 , 897.03 , 973.96 ," 1,160.60 "
,,,,,,,,,,
Net Block, -   , 53.27 , 206.65 , 286.27 , 362.52 , 371.18 , 404.78 , 431.07 , 442.12 , 492.00 
Capital Work in Progress, -   , 0.71 , 0.52 , 2.67 , 1.23 , 10.41 , 27.88 , 28.57 , 33.41 , 79.11 
Investments, -   , 93.48 , 29.91 , 31.39 , 137.77 , 80.01 , 83.76 , 154.69 , 141.42 , 218.85 
Other Assets, -   , 32.91 , 83.28 , 115.94 , 142.13 , 152.22 , 219.44 , 282.70 , 357.01 , 370.64 
Total, -   , 180.37 , 320.36 , 436.27 , 643.65 , 613.82 , 735.86 , 897.03 , 973.96 ," 1,160.60 "
,,,,,,,,,,
Working Capital, -   , 10.88 , 30.07 , 59.08 , 45.54 , 52.73 , 65.23 , 99.42 , 146.33 , 111.96 
Debtors, -   , 11.35 , 27.66 , 40.88 , 58.30 , 51.64 , 64.38 , 69.16 , 100.60 , 126.21 
Inventory, -   , 1.51 , 4.69 , 5.93 , 8.88 , 10.79 , 12.98 , 11.08 , 14.90 , 17.10 
,,,,,,,,,,
Debtor Days, -   , 62.58 , 63.47 , 73.93 , 73.02 , 53.99 , 55.93 , 53.58 , 67.37 , 78.50 
Inventory Turnover, -   , 43.84 , 33.92 , 34.04 , 32.82 , 32.35 , 32.37 , 42.52 , 36.58 , 34.32 
,,,,,,,,,,
Return on Equity,,-7%,2%,-2%,-3%,-15%,-1%,-1%,4%,4%
Return on Capital Emp,,-10%,7%,5%,4%,-2%,4%,4%,6%,8%
,,,,,,,,,,
