HI-TECH PIPES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-06,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.47 , 0.47 , 0.47 , 0.47 , 3.14 , 3.79 , 10.30 , 10.30 , 10.50 
Reserves, -   , 12.58 , 25.94 , 27.89 , 29.97 , 33.23 , 43.67 , 56.02 , 64.81 , 94.86 
Borrowings, -   , 22.29 , 63.33 , 80.70 , 95.01 , 112.86 , 111.07 , 141.97 , 150.80 , 188.39 
Other Liabilities, -   , 31.28 , 65.24 , 65.53 , 63.62 , 75.67 , 56.71 , 71.15 , 91.56 , 62.06 
Total, -   , 66.62 , 154.98 , 174.59 , 189.07 , 224.90 , 215.24 , 279.44 , 317.47 , 355.81 
,,,,,,,,,,
Net Block, -   , 8.54 , 20.90 , 25.08 , 26.57 , 29.10 , 42.93 , 55.17 , 66.70 , 95.77 
Capital Work in Progress, -   , 2.92 , 1.03 , 3.91 , 5.18 , 7.18 , 8.22 , 6.51 , 3.01 , 11.52 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 3.01 , 3.01 
Other Assets, -   , 55.16 , 133.05 , 145.60 , 157.32 , 188.62 , 164.09 , 217.76 , 244.75 , 245.51 
Total, -   , 66.62 , 154.98 , 174.59 , 189.07 , 224.90 , 215.24 , 279.44 , 317.47 , 355.81 
,,,,,,,,,,
Working Capital, -   , 23.88 , 67.81 , 80.07 , 93.70 , 112.95 , 107.38 , 146.61 , 153.19 , 183.45 
Debtors, -   , 24.44 , 50.93 , 55.61 , 57.59 , 71.72 , 53.10 , 67.50 , 78.27 , 77.85 
Inventory, -   , 19.41 , 54.82 , 61.12 , 61.56 , 72.96 , 67.68 , 101.72 , 115.64 , 123.39 
,,,,,,,,,,
Debtor Days, -   , 41.62 , 57.97 , 58.20 , 56.86 , 68.28 , 42.28 , 48.89 , 48.31 , 34.59 
Inventory Turnover, -   , 11.04 , 5.85 , 5.71 , 6.01 , 5.25 , 6.77 , 4.95 , 5.11 , 6.66 
,,,,,,,,,,
Return on Equity,,17%,12%,7%,7%,7%,10%,10%,12%,14%
Return on Capital Emp,,27%,20%,14%,13%,12%,14%,15%,15%,17%
,,,,,,,,,,
