FEDERAL-MOGUL GOETZE (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 55.63 , 55.63 , 55.63 , 55.63 , 55.63 , 55.63 , 55.63 , 55.63 , 55.63 , 55.63 
Reserves, 241.51 , 287.71 , 322.10 , 359.56 , 343.20 , 363.79 , 395.14 , 434.77 , 506.88 , 592.23 
Borrowings, 162.14 , 101.14 , 86.48 , 152.80 , 194.21 , 206.89 , 226.42 , 201.33 , 115.93 , 68.13 
Other Liabilities, 263.18 , 256.31 , 261.28 , 308.78 , 287.92 , 302.54 , 343.07 , 398.04 , 355.99 , 328.78 
Total, 722.46 , 700.79 , 725.49 , 876.77 , 880.96 , 928.85 ," 1,020.26 "," 1,089.77 "," 1,034.43 "," 1,044.77 "
,,,,,,,,,,
Net Block, 387.06 , 366.27 , 354.68 , 424.63 , 459.50 , 473.92 , 467.67 , 520.56 , 517.01 , 514.04 
Capital Work in Progress, 13.56 , 17.21 , 35.76 , 36.73 , 36.07 , 33.19 , 56.42 , 31.92 , 23.87 , 33.09 
Investments, 20.92 , 20.92 , 20.92 , 20.92 , 5.10 , 5.10 , 5.10 , 5.10 , 5.13 , 5.13 
Other Assets, 300.92 , 296.39 , 314.13 , 394.49 , 380.29 , 416.64 , 491.07 , 532.19 , 488.42 , 492.51 
Total, 722.46 , 700.79 , 725.49 , 876.77 , 880.96 , 928.85 ," 1,020.26 "," 1,089.77 "," 1,034.43 "," 1,044.77 "
,,,,,,,,,,
Working Capital, 37.74 , 40.08 , 52.85 , 85.71 , 92.37 , 114.10 , 148.00 , 134.15 , 132.43 , 163.73 
Debtors, 93.26 , 100.69 , 119.43 , 150.70 , 150.47 , 146.65 , 172.93 , 181.17 , 184.66 , 208.09 
Inventory, 100.33 , 91.35 , 105.64 , 139.20 , 133.46 , 148.45 , 197.90 , 196.35 , 181.87 , 182.02 
,,,,,,,,,,
Debtor Days, 49.64 , 48.36 , 48.04 , 47.84 , 46.63 , 47.12 , 41.12 , 49.76 , 53.67 , 58.25 
Inventory Turnover, 6.83 , 8.32 , 8.59 , 8.26 , 8.83 , 7.65 , 7.76 , 6.77 , 6.91 , 7.16 
,,,,,,,,,,
Return on Equity,-2%,13%,9%,9%,-4%,5%,7%,9%,13%,13%
Return on Capital Emp,,16%,13%,14%,3%,9%,13%,15%,20%,21%
,,,,,,,,,,
