MAHESHWARI LOGISTICS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 326.76 , 339.69 , 414.38 , 533.49 , 600.79 , 736.03 , 867.35 , -   ," 1,022.10 ", 867.35 
Expenses, -   , -   , -   , 310.80 , 323.22 , 396.62 , 515.74 , 580.10 , 708.08 , 832.12 , -   , 983.21 , 867.35 
Operating Profit, -   , -   , -   , 15.96 , 16.47 , 17.76 , 17.75 , 20.69 , 27.95 , 35.23 , -   , 38.89 , -   
Other Income, -   , -   , -   , 0.07 , 0.85 , 0.51 , 1.44 , 2.90 , 2.07 , 3.47 , -   , -   , -   
Depreciation, -   , -   , -   , 7.37 , 5.12 , 3.54 , 2.51 , 2.39 , 4.89 , 7.41 , -   , -   , -   
Interest, -   , -   , -   , 6.51 , 5.31 , 6.27 , 7.25 , 10.71 , 9.41 , 13.40 , -   , -   , -   
Profit before tax, -   , -   , -   , 2.15 , 6.89 , 8.46 , 9.43 , 10.50 , 15.71 , 17.89 , -   , 38.89 , -   
Tax, -   , -   , -   , 0.78 , 2.62 , 3.30 , 3.58 , 3.18 , 6.00 , 6.24 , -   ,0%,0%
Net profit, -   , -   , -   , 1.37 , 4.27 , 5.17 , 5.84 , 7.31 , 9.72 , 11.65 , -   , 38.89 , -   
EPS, -   , -   , -   , 3.09 , 9.62 , 10.62 , 11.21 , 13.53 , 6.57 , 7.87 , -   , 26.28 , -   
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 14.08 , 23.58 , -   , 18.83 , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , 92.45 , 185.62 , 281.15 , 494.78 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,10.30%,0.00%,0.00%,0.00%,0.00%,6.35%,,,
OPM,0.00%,0.00%,0.00%,4.88%,4.85%,4.29%,3.33%,3.44%,3.80%,4.06%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,20.62%,17.59%,17.84%,17.84%,17.59%
,,,,,,OPM,3.98%,3.98%,3.79%,3.81%,0.00%,3.81%,0.00%
,,,,,,Price to Earning, 18.83 , 18.83 , 18.83 , 18.83 , -   , 18.83 , -   
