CHAMBAL FERTILISERS & CHEMICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 4,593.03 "," 3,572.31 "," 4,652.85 "," 6,460.55 "," 7,336.62 "," 7,976.96 "," 8,877.10 "," 8,770.26 "," 7,410.66 "," 7,461.12 "," 10,094.52 "," 10,094.52 "," 6,893.03 "
Expenses," 4,044.53 "," 2,935.82 "," 3,927.20 "," 5,665.34 "," 6,623.43 "," 7,362.11 "," 8,185.03 "," 8,127.29 "," 6,672.97 "," 6,678.71 "," 8,881.73 "," 8,881.73 "," 6,302.38 "
Operating Profit, 548.50 , 636.49 , 725.65 , 795.21 , 713.19 , 614.85 , 692.07 , 642.97 , 737.69 , 782.41 ," 1,212.79 "," 1,212.79 ", 590.64 
Other Income, 129.05 , 70.98 , 93.12 , 147.38 , 97.19 , 161.47 , 39.56 , (154.23), 178.23 , 155.75 , (55.66), -   , -   
Depreciation, 227.14 , 257.62 , 267.95 , 262.08 , 222.04 , 230.31 , 173.32 , 86.55 , 61.57 , 62.89 , 118.76 , 118.76 , 118.76 
Interest, 132.32 , 91.04 , 110.02 , 120.87 , 131.60 , 200.09 , 158.20 , 260.67 , 247.13 , 151.46 , 245.67 , 245.67 , 245.67 
Profit before tax, 318.09 , 358.81 , 440.80 , 559.64 , 456.73 , 345.92 , 400.12 , 141.52 , 607.21 , 723.81 , 792.70 , 848.36 , 226.21 
Tax, 87.53 , 109.76 , 115.62 , 312.35 , 151.12 , 42.85 , 163.34 , 152.67 , 182.11 , 243.64 , 247.42 ,31%,31%
Net profit, 230.56 , 249.05 , 325.18 , 247.29 , 305.61 , 303.07 , 236.78 , (11.14), 425.10 , 480.17 , 545.27 , 583.57 , 155.61 
EPS, 5.54 , 5.98 , 7.81 , 5.94 , 7.34 , 7.32 , 5.72 , (0.27), 10.21 , 11.54 , 13.10 , 14.02 , 3.74 
Price to earning, 8.22 , 10.54 , 10.85 , 13.37 , 7.15 , 5.71 , 12.18 , (219.35), 8.79 , 15.69 , 13.23 , 13.23 , 10.57 
Price, 45.53 , 63.09 , 84.75 , 79.45 , 52.51 , 41.81 , 69.69 , 58.71 , 89.83 , 180.98 , 173.30 , 185.47 , 39.53 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.49%,31.75%,24.32%,31.98%,25.88%,25.95%,33.22%,0.00%,18.60%,16.47%,,,
OPM,11.94%,17.82%,15.60%,12.31%,9.72%,7.71%,7.80%,7.33%,9.95%,10.49%,12.01%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.54%,6.98%,0.34%,-5.63%,35.29%,35.29%,-5.63%
,,,,,,OPM,10.27%,9.17%,8.57%,9.15%,12.01%,12.01%,8.57%
,,,,,,Price to Earning, 10.57 , 10.88 , 11.12 , 12.57 , 13.23 , 13.23 , 10.57 
