L&T TECHNOLOGY SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 126.17 ," 2,560.59 "," 2,893.70 "," 3,112.50 "," 3,506.60 "," 4,712.00 "," 4,712.00 "," 4,027.24 "
Expenses, -   , -   , -   , -   , -   , 106.60 ," 2,156.29 "," 2,360.30 "," 2,508.30 "," 2,955.50 "," 3,847.60 "," 3,847.60 "," 3,329.85 "
Operating Profit, -   , -   , -   , -   , -   , 19.57 , 404.30 , 533.40 , 604.20 , 551.10 , 864.40 , 864.40 , 697.39 
Other Income, -   , -   , -   , -   , -   , (3.97), 25.04 , 81.70 , 53.70 , 188.00 , 151.20 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 1.12 , 47.09 , 54.10 , 57.50 , 57.60 , 73.10 , 73.10 , 73.10 
Interest, -   , -   , -   , -   , -   , 2.93 , 3.14 , 1.60 , 0.80 , 0.40 , 1.10 , 1.10 , 1.10 
Profit before tax, -   , -   , -   , -   , -   , 11.56 , 379.10 , 559.40 , 599.60 , 681.10 , 941.40 , 790.20 , 623.19 
Tax, -   , -   , -   , -   , -   , 5.34 , 63.92 , 123.10 , 150.60 , 191.70 , 241.30 ,26%,26%
Net profit, -   , -   , -   , -   , -   , 6.21 , 315.18 , 436.30 , 449.00 , 489.40 , 700.10 , 587.66 , 463.45 
EPS, -   , -   , -   , -   , -   , 0.12 , 2.10 , 2.91 , 44.15 , 47.77 , 67.30 , 56.49 , 44.55 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 17.39 , 25.70 , 26.35 , 26.35 , 23.15 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 767.64 ," 1,227.79 "," 1,773.15 "," 1,488.36 "," 1,031.19 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,49.75%,24.61%,27.01%,33.51%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,15.51%,15.79%,18.43%,19.41%,15.72%,18.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,11.05%,34.38%,34.38%,11.05%
,,,,,,OPM,17.32%,17.32%,17.32%,17.75%,18.34%,18.34%,17.32%
,,,,,,Price to Earning, 23.15 , 23.15 , 23.15 , 23.15 , 26.35 , 26.35 , 23.15 
