FOSECO INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 6.39 , 6.39 , 6.39 , 6.39 , 6.39 , 6.39 , 6.39 , 6.39 , 6.39 , 6.39 
Reserves, 53.13 , 59.76 , 71.68 , 83.11 , 82.59 , 91.49 , 102.54 , 117.94 , 139.27 , 149.72 
Borrowings, 11.05 , 11.03 , 10.65 , 9.62 , 8.04 , 5.81 , 3.58 , 1.85 , 0.65 , -   
Other Liabilities, 32.07 , 46.35 , 44.78 , 42.73 , 50.31 , 48.54 , 50.56 , 57.07 , 74.64 , 82.35 
Total, 102.64 , 123.53 , 133.50 , 141.85 , 147.33 , 152.23 , 163.07 , 183.25 , 220.95 , 238.46 
,,,,,,,,,,
Net Block, 25.53 , 25.71 , 26.17 , 31.28 , 27.82 , 26.11 , 26.42 , 25.70 , 22.77 , 19.70 
Capital Work in Progress, 0.91 , 0.02 , 2.00 , -   , -   , 0.56 , 0.76 , 0.24 , 1.15 , 5.96 
Investments, 0.08 , 0.08 , 0.08 , 0.08 , 0.08 , 0.03 , -   , -   , -   , -   
Other Assets, 76.12 , 97.72 , 105.25 , 110.49 , 119.43 , 125.53 , 135.89 , 157.31 , 197.03 , 212.80 
Total, 102.64 , 123.53 , 133.50 , 141.85 , 147.33 , 152.23 , 163.07 , 183.25 , 220.95 , 238.46 
,,,,,,,,,,
Working Capital, 44.05 , 51.37 , 60.47 , 67.76 , 69.12 , 76.99 , 85.33 , 100.24 , 122.39 , 130.45 
Debtors, 35.32 , 51.91 , 63.51 , 66.63 , 64.30 , 73.11 , 90.31 , 99.61 , 100.58 , 87.01 
Inventory, 6.44 , 11.20 , 9.09 , 9.22 , 11.58 , 13.46 , 15.88 , 19.16 , 16.71 , 20.98 
,,,,,,,,,,
Debtor Days, 102.85 , 101.89 , 99.53 , 98.57 , 103.43 , 101.32 , 112.83 , 107.09 , 102.66 , 87.69 
Inventory Turnover, 19.46 , 16.60 , 25.62 , 26.76 , 19.59 , 19.57 , 18.40 , 17.72 , 21.40 , 17.26 
,,,,,,,,,,
Return on Equity,21%,29%,32%,24%,20%,25%,29%,27%,22%,21%
Return on Capital Emp,,40%,45%,35%,28%,38%,45%,44%,36%,33%
,,,,,,,,,,
