GNA AXLES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 15.17 , 15.17 , 15.17 , 15.17 , 15.17 , 15.17 , 21.47 , 21.47 
Reserves, -   , -   , 41.71 , 58.54 , 63.36 , 76.40 , 97.64 , 123.14 , 275.44 , 319.96 
Borrowings, -   , -   , 79.38 , 84.65 , 111.30 , 133.75 , 153.22 , 138.63 , 117.29 , 142.32 
Other Liabilities, -   , -   , 97.70 , 109.10 , 128.05 , 156.53 , 160.43 , 169.59 , 163.04 , 198.54 
Total, -   , -   , 233.96 , 267.46 , 317.88 , 381.85 , 426.46 , 446.53 , 577.24 , 682.29 
,,,,,,,,,,
Net Block, -   , -   , 82.91 , 88.13 , 107.60 , 145.06 , 159.33 , 147.31 , 131.74 , 190.69 
Capital Work in Progress, -   , -   , 2.45 , 7.22 , 28.94 , 24.00 , 0.42 , 0.05 , 2.53 , -   
Investments, -   , -   , -   , -   , -   , -   , -   , 0.01 , 0.01 , 0.01 
Other Assets, -   , -   , 148.60 , 172.11 , 181.34 , 212.79 , 266.71 , 299.16 , 442.96 , 491.59 
Total, -   , -   , 233.96 , 267.46 , 317.88 , 381.85 , 426.46 , 446.53 , 577.24 , 682.29 
,,,,,,,,,,
Working Capital, -   , -   , 50.90 , 63.01 , 53.29 , 56.26 , 106.28 , 129.57 , 279.92 , 293.05 
Debtors, -   , -   , 78.89 , 84.77 , 86.62 , 111.35 , 121.85 , 162.08 , 182.27 , 235.47 
Inventory, -   , -   , 51.95 , 53.11 , 52.95 , 61.25 , 91.94 , 91.37 , 110.29 , 153.64 
,,,,,,,,,,
Debtor Days, -   , -   , 92.76 , 77.62 , 90.61 , 100.76 , 103.41 , 116.34 , 129.58 , 128.25 
Inventory Turnover, -   , -   , 5.98 , 7.51 , 6.59 , 6.59 , 4.68 , 5.57 , 4.66 , 4.36 
,,,,,,,,,,
Return on Equity,,,13%,23%,6%,14%,19%,19%,10%,15%
Return on Capital Emp,,,34%,27%,17%,16%,15%,20%,17%,18%
,,,,,,,,,,
