INDO TECH TRANSFORMERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 207.57 , 97.96 , 112.83 , 114.68 , 114.07 , 93.86 , 156.91 , 189.87 , 148.81 , 220.17 , 213.39 , 325.75 , 221.57 
Expenses, 150.79 , 107.33 , 132.75 , 146.81 , 152.90 , 108.84 , 166.40 , 190.80 , 151.75 , 221.38 , 217.31 , 325.75 , 221.57 
Operating Profit, 56.78 , (9.37), (19.92), (32.13), (38.83), (14.98), (9.49), (0.93), (2.94), (1.21), (3.92), -   , -   
Other Income, 2.12 , 4.04 , 1.47 , 1.01 , 1.46 , 10.89 , 16.69 , 12.76 , 1.79 , 4.55 , 1.24 , -   , -   
Depreciation, 3.92 , 3.87 , 3.80 , 4.12 , 5.04 , 2.99 , 5.18 , 5.35 , 4.82 , 4.74 , 5.19 , 5.19 , 5.19 
Interest, 2.81 , 2.33 , 1.52 , 4.76 , 7.77 , 11.73 , 5.77 , 2.45 , 3.11 , 2.30 , 0.52 , 0.52 , 0.52 
Profit before tax, 59.21 , (11.53), (23.77), (39.99), (50.18), (18.80), (3.74), 4.03 , (9.07), (3.69), (8.39), (5.71), (5.71)
Tax, 20.24 , (3.14), (1.03), -   , -   , -   , -   , -   , 2.21 , -   , -   ,0%,0%
Net profit, 38.97 , (8.39), (22.74), (39.98), (50.18), (18.80), (3.74), 4.02 , (11.27), (3.69), (8.39), (5.71), (5.71)
EPS, 36.69 , (7.90), (21.41), (37.65), (47.25), (17.70), (3.52), 3.79 , (10.61), (3.47), (7.90), (5.38), (5.38)
Price to earning, 8.35 , (37.47), (7.36), (2.25), (1.50), (4.13), (46.20), 51.05 , (20.95), (52.58), -   , 51.05 , -   
Price, 306.37 , 296.03 , 157.51 , 84.84 , 70.96 , 73.19 , 162.70 , 193.23 , 222.34 , 182.69 , 104.25 , (274.45), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,33.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,27.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.66%,10.02%,14.06%,11.95%,47.95%,47.95%,0.66%
,,,,,,OPM,3.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 29.70 , 51.05 , 51.05 , 51.05 , -   , 51.05 , -   
