ICICI SECURITIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   ," 1,403.90 "," 1,856.80 "," 1,704.69 "," 2,455.81 "," 2,406.74 "
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 838.71 , 940.32 , 913.80 ," 1,316.44 "," 1,313.11 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 565.19 , 916.48 , 790.89 ," 1,139.37 "," 1,093.63 "
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , (0.25), (1.68), 21.10 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 15.46 , 15.26 , 14.93 , 14.93 , 14.93 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 28.50 , 49.12 , 41.97 , 41.97 , 41.97 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 520.98 , 850.42 , 755.09 ," 1,082.47 "," 1,036.73 "
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 183.37 , 297.06 , 268.18 ,36%,36%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 337.61 , 553.36 , 486.91 , 698.02 , 668.52 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 10.48 , 17.18 , 15.11 , 21.67 , 20.75 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 24.89 , 14.14 , 19.51 , 14.14 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 427.52 , 213.65 , 422.78 , 293.34 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.73%,54.72%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.26%,49.36%,46.39%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,32.26%,32.26%,32.26%
,,,,,,OPM,45.44%,45.44%,45.44%,45.44%,46.39%,46.39%,45.44%
,,,,,,Price to Earning, 19.51 , 19.51 , 19.51 , 19.51 , 14.14 , 19.51 , 14.14 
