KAYA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 17.85 , 17.85 , -   , 12.90 , 13.02 , 13.03 
Reserves, -   , -   , -   , -   , 16.55 , 50.51 , 186.59 , 178.58 , 187.05 , 175.05 
Borrowings, -   , -   , -   , -   , 113.28 , 113.20 , -   , -   , 0.59 , -   
Other Liabilities, -   , -   , -   , -   , 60.43 , 88.75 , 97.15 , 86.80 , 83.50 , 73.24 
Total, -   , -   , -   , -   , 208.11 , 270.31 , 283.74 , 278.28 , 284.16 , 261.32 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 16.85 , 18.33 , 32.09 , 45.83 , 47.98 , 49.88 
Capital Work in Progress, -   , -   , -   , -   , 0.12 , 0.47 , 3.18 , 1.53 , 0.84 , 0.30 
Investments, -   , -   , -   , -   , 145.86 , 211.60 , 195.33 , 131.75 , 115.24 , 114.59 
Other Assets, -   , -   , -   , -   , 45.28 , 39.91 , 53.14 , 99.17 , 120.10 , 96.55 
Total, -   , -   , -   , -   , 208.11 , 270.31 , 283.74 , 278.28 , 284.16 , 261.32 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , (15.15), (48.84), (44.01), 12.37 , 36.60 , 23.31 
Debtors, -   , -   , -   , -   , 0.42 , 0.37 , 0.45 , 1.81 , 2.36 , 4.12 
Inventory, -   , -   , -   , -   , 14.39 , 15.59 , 23.05 , 36.54 , 33.58 , 33.77 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 1.07 , 0.88 , 0.94 , 3.56 , 4.44 , 7.47 
Inventory Turnover, -   , -   , -   , -   , 9.96 , 9.84 , 7.55 , 5.07 , 5.78 , 5.96 
,,,,,,,,,,
Return on Equity,,,,,-86%,50%,8%,-5%,-8%,-7%
Return on Capital Emp,,,,,-37%,26%,9%,-4%,-8%,-6%
,,,,,,,,,,
