DISHMAN CARBOGEN AMCIS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , 6.81 , 451.49 , 474.46 , 549.47 , 549.47 , 561.33 
Expenses, -   , -   , -   , -   , -   , -   , -   , 5.13 , 303.36 , 308.16 , 355.68 , 355.68 , 371.10 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , 1.68 , 148.13 , 166.30 , 193.79 , 193.79 , 190.23 
Other Income, -   , -   , -   , -   , -   , -   , 0.45 , 0.32 , 70.80 , 65.66 , 71.68 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 135.85 , 134.45 , 136.30 , 136.30 , 136.30 
Interest, -   , -   , -   , -   , -   , -   , 0.94 , 0.99 , 39.17 , 35.34 , 47.43 , 47.43 , 47.43 
Profit before tax, -   , -   , -   , -   , -   , -   , (0.50), 1.01 , 43.91 , 62.17 , 81.74 , 10.06 , 6.50 
Tax, -   , -   , -   , -   , -   , -   , -   , 0.12 , 19.67 , 25.10 , 25.70 ,31%,31%
Net profit, -   , -   , -   , -   , -   , -   , (0.50), 0.89 , 24.24 , 37.07 , 56.04 , 6.90 , 4.46 
EPS, -   , -   , -   , -   , -   , -   , (20.00), 35.60 , -   , 2.30 , 3.47 , 0.43 , 0.28 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 146.95 , 68.86 , 107.91 , 68.86 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 337.53 , 239.10 , 46.11 , 19.02 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.67%,32.81%,35.05%,35.27%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,15.81%,15.81%,15.81%
,,,,,,OPM,33.89%,33.89%,33.89%,33.89%,35.27%,35.27%,33.89%
,,,,,,Price to Earning, 107.91 , 107.91 , 107.91 , 107.91 , 68.86 , 107.91 , 68.86 
