CLARIANT CHEMICALS (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 906.68 , 917.61 , 966.52 , 974.90 ," 1,090.89 "," 1,237.48 "," 1,044.72 "," 1,139.96 ", 980.98 ," 1,013.56 "," 1,028.08 "," 1,047.22 ", 998.55 
Expenses, 810.02 , 750.65 , 817.65 , 824.52 , 954.01 ," 1,118.82 "," 1,026.17 "," 1,075.64 ", 913.86 , 969.56 , 970.67 , 988.61 , 942.79 
Operating Profit, 96.66 , 166.96 , 148.87 , 150.38 , 136.88 , 118.66 , 18.55 , 64.32 , 67.12 , 44.00 , 57.41 , 58.61 , 55.76 
Other Income, 34.67 , 16.11 , 34.50 , 264.39 , 28.46 , 132.36 ," 1,203.22 ", 55.18 , 9.10 , 27.75 , 10.70 , -   , -   
Depreciation, 22.52 , 18.96 , 16.89 , 18.12 , 21.60 , 23.45 , 33.24 , 50.05 , 39.48 , 37.72 , 37.38 , 37.38 , 37.38 
Interest, 1.53 , 1.00 , 1.16 , 1.24 , 1.42 , 1.80 , 1.13 , 0.73 , 0.46 , 0.60 , 0.62 , 0.62 , 0.62 
Profit before tax, 107.28 , 163.11 , 165.32 , 395.41 , 142.32 , 225.77 ," 1,187.41 ", 68.73 , 36.29 , 33.42 , 30.11 , 20.61 , 17.76 
Tax, 39.80 , 54.97 , 52.91 , 91.37 , 41.01 , 59.01 , 244.09 , 9.35 , 11.81 , 11.81 , 11.58 ,38%,38%
Net profit, 67.48 , 108.14 , 112.41 , 304.04 , 101.30 , 166.77 , 943.32 , 59.37 , 24.48 , 21.60 , 18.53 , 12.69 , 10.93 
EPS, 25.31 , 40.56 , 42.16 , 114.04 , 38.00 , 62.55 , 353.82 , 25.72 , 10.61 , 9.36 , 8.03 , 5.50 , 4.74 
Price to earning, 6.15 , 11.25 , 17.34 , 5.21 , 16.01 , 9.72 , 2.81 , 25.02 , 65.22 , 58.37 , 38.50 , 46.78 , 23.24 
Price, 155.55 , 456.44 , 731.00 , 594.27 , 608.36 , 607.92 , 994.97 , 643.52 , 691.68 , 546.27 , 309.05 , 257.09 , 110.03 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,75.06%,61.63%,71.15%,52.61%,72.37%,47.96%,11.02%,583.12%,235.70%,53.43%,,,
OPM,10.66%,18.20%,15.40%,15.43%,12.55%,9.59%,1.78%,5.64%,6.84%,4.34%,5.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,1.25%,0.68%,-1.46%,-1.00%,3.32%,3.32%,-1.46%
,,,,,,OPM,9.85%,8.02%,5.77%,5.60%,5.58%,5.60%,5.58%
,,,,,,Price to Earning, 23.24 , 27.61 , 33.27 , 46.78 , 38.50 , 46.78 , 23.24 
