ENDURANCE TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 17.00 , 17.58 , 18.16 , 17.58 , 17.58 , 17.58 , 17.58 , 140.66 , 140.66 
Reserves, -   , 373.00 , 512.27 , 656.07 , 711.53 , 973.33 ," 1,140.14 "," 1,332.12 "," 1,422.40 "," 1,651.60 "
Borrowings, -   , 810.52 , 862.62 , 747.62 , 740.71 , 500.44 , 338.75 , 244.38 , 207.56 , 198.15 
Other Liabilities, -   , 436.06 , 416.12 , 492.10 , 437.45 , 452.91 , 383.23 , 405.57 , 479.48 , 626.90 
Total, -   ," 1,636.58 "," 1,808.59 "," 1,913.95 "," 1,907.27 "," 1,944.26 "," 1,879.70 "," 1,999.65 "," 2,250.10 "," 2,617.31 "
,,,,,,,,,,
Net Block, -   , 853.20 , 889.60 , 880.35 , 891.49 , 953.03 , 892.20 , 773.12 , 846.26 , 962.83 
Capital Work in Progress, -   , 25.93 , 27.28 , 32.80 , 23.14 , 13.68 , 21.63 , 43.78 , 33.62 , 55.30 
Investments, -   , 282.34 , 297.09 , 368.59 , 397.48 , 364.68 , 364.67 , 411.83 , 396.34 , 409.68 
Other Assets, -   , 475.11 , 594.62 , 632.21 , 595.16 , 612.87 , 601.20 , 770.92 , 973.88 ," 1,189.50 "
Total, -   ," 1,636.58 "," 1,808.59 "," 1,913.95 "," 1,907.27 "," 1,944.26 "," 1,879.70 "," 1,999.65 "," 2,250.10 "," 2,617.31 "
,,,,,,,,,,
Working Capital, -   , 39.05 , 178.50 , 140.11 , 157.71 , 159.96 , 217.97 , 365.35 , 494.40 , 562.60 
Debtors, -   , 244.36 , 309.18 , 333.44 , 340.09 , 360.96 , 289.92 , 316.51 , 484.64 , 706.57 
Inventory, -   , 103.56 , 132.12 , 116.02 , 123.35 , 147.45 , 198.11 , 198.47 , 249.07 , 246.62 
,,,,,,,,,,
Debtor Days, -   , 56.51 , 49.52 , 43.93 , 45.66 , 42.20 , 30.15 , 31.59 , 45.62 , 55.59 
Inventory Turnover, -   , 15.24 , 17.25 , 23.88 , 22.04 , 21.17 , 17.72 , 18.43 , 15.57 , 18.81 
,,,,,,,,,,
Return on Equity,,14%,20%,16%,14%,15%,16%,15%,14%,15%
Return on Capital Emp,,27%,17%,16%,15%,18%,19%,20%,19%,22%
,,,,,,,,,,
