BATA INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 986.30 ," 1,090.90 "," 1,257.24 "," 1,542.54 "," 1,842.45 "," 2,065.18 "," 2,694.00 "," 2,415.39 "," 2,467.16 "," 2,629.27 "," 2,928.44 "," 2,928.44 "," 2,605.63 "
Expenses, 897.06 , 963.38 ," 1,088.10 "," 1,303.30 "," 1,555.78 "," 1,727.62 "," 2,344.78 "," 2,154.65 "," 2,172.32 "," 2,263.19 "," 2,451.16 "," 2,451.16 "," 2,285.93 "
Operating Profit, 89.24 , 127.52 , 169.14 , 239.24 , 286.67 , 337.56 , 349.22 , 260.74 , 294.84 , 366.08 , 477.28 , 477.28 , 319.70 
Other Income, 12.84 , 10.36 , 14.01 , 130.91 , 28.66 , 17.39 , 76.45 , 130.48 , 18.72 , 49.17 , 68.55 , -   , -   
Depreciation, 19.00 , 27.92 , 32.51 , 41.10 , 51.38 , 59.20 , 79.23 , 78.80 , 65.01 , 60.42 , 64.01 , 64.01 , 64.01 
Interest, 11.24 , 9.70 , 7.64 , 9.65 , 11.99 , 13.12 , 17.77 , 15.79 , 14.99 , 14.82 , 3.55 , 3.55 , 3.55 
Profit before tax, 71.84 , 100.26 , 143.00 , 319.40 , 251.96 , 282.62 , 328.67 , 296.65 , 233.57 , 340.02 , 478.27 , 409.72 , 252.14 
Tax, 11.10 , 33.03 , 47.65 , 93.56 , 80.37 , 91.88 , 97.49 , 79.05 , 74.83 , 116.44 , 148.60 ,31%,31%
Net profit, 60.74 , 67.23 , 95.35 , 225.84 , 171.60 , 190.74 , 231.17 , 217.60 , 158.75 , 223.58 , 329.66 , 282.42 , 173.80 
EPS, 4.72 , 5.23 , 7.42 , 17.57 , 13.35 , 14.84 , 17.98 , 16.92 , 12.35 , 17.39 , 25.65 , 21.97 , 13.52 
Price to earning, 10.21 , 18.74 , 24.68 , 16.69 , 31.48 , 33.72 , 30.06 , 31.93 , 46.34 , 44.65 , 52.17 , 52.17 , 30.97 
Price, 48.23 , 97.98 , 183.04 , 293.18 , 420.19 , 500.19 , 540.41 , 540.38 , 572.12 , 776.51 ," 1,338.05 "," 1,146.30 ", 418.76 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,26.46%,28.68%,26.95%,17.07%,22.47%,21.90%,18.07%,20.67%,28.33%,22.99%,,,
OPM,9.05%,11.69%,13.45%,15.51%,15.56%,16.35%,12.96%,10.79%,11.95%,13.92%,16.30%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.51%,11.12%,7.37%,-0.81%,11.38%,11.38%,-0.81%
,,,,,,OPM,13.27%,13.63%,13.11%,12.27%,16.30%,16.30%,12.27%
,,,,,,Price to Earning, 30.97 , 35.88 , 39.81 , 43.77 , 52.17 , 52.17 , 30.97 
