KHADIM INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 359.32 , 460.16 , 534.52 , 610.60 , 748.71 , 799.18 , 918.06 , 889.50 
Expenses, -   , -   , -   , -   , -   , 321.01 , 446.41 , 481.59 , 543.95 , 671.34 , 742.24 , 822.58 , 826.12 
Operating Profit, -   , -   , -   , -   , -   , 38.31 , 13.75 , 52.93 , 66.65 , 77.37 , 56.94 , 95.47 , 63.37 
Other Income, -   , -   , -   , -   , -   , 2.62 , 5.55 , 3.74 , 4.21 , 9.26 , 6.34 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 6.94 , 19.18 , 16.29 , 15.66 , 15.62 , 18.43 , 18.43 , 18.43 
Interest, -   , -   , -   , -   , -   , 17.41 , 19.22 , 14.55 , 14.67 , 14.06 , 11.64 , 11.64 , 11.64 
Profit before tax, -   , -   , -   , -   , -   , 16.57 , (19.11), 25.82 , 40.53 , 56.96 , 33.21 , 65.40 , 33.30 
Tax, -   , -   , -   , -   , -   , 5.60 , (0.45), 0.58 , 9.90 , 19.07 , 12.03 ,36%,36%
Net profit, -   , -   , -   , -   , -   , 10.97 , (18.66), 25.24 , 30.64 , 37.90 , 21.17 , 41.71 , 21.24 
EPS, -   , -   , -   , -   , -   , 9.04 , (10.79), 14.59 , 17.71 , 21.10 , 11.78 , 23.21 , 11.82 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 35.38 , 29.90 , 32.64 , 29.90 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 746.29 , 352.20 , 757.55 , 353.37 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,11.03%,0.00%,0.00%,0.00%,4.75%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,10.66%,2.99%,9.90%,10.92%,10.33%,7.12%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,17.62%,22.62%,22.62%,17.62%
,,,,,,OPM,9.18%,9.18%,9.18%,10.40%,7.12%,10.40%,7.12%
,,,,,,Price to Earning, 32.64 , 32.64 , 32.64 , 32.64 , 29.90 , 32.64 , 29.90 
