CONSOLIDATED FINVEST & HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 32.33 , 32.33 , 32.33 , 32.33 , 32.33 , 32.33 , 32.33 , 32.33 , 32.33 , 32.33 
Reserves, 294.70 , 300.71 , 310.62 , 312.28 , 319.90 , 316.18 , 317.67 , 363.43 , 360.50 , 351.71 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 4.70 , 6.21 , 8.93 , 9.46 , 8.58 , 5.33 , 2.99 , 9.61 , 9.37 , 2.34 
Total, 331.73 , 339.25 , 351.88 , 354.07 , 360.81 , 353.84 , 352.99 , 405.37 , 402.20 , 386.38 
,,,,,,,,,,
Net Block, 4.99 , 4.84 , 3.93 , 4.55 , 4.41 , 4.28 , 3.54 , 3.45 , 2.32 , 1.41 
Capital Work in Progress, 0.04 , 0.04 , 0.81 , 0.04 , 0.04 , 0.04 , -   , -   , -   , -   
Investments, 251.28 , 317.54 , 305.87 , 299.10 , 287.51 , 331.69 , 339.03 , 323.61 , 306.08 , 353.48 
Other Assets, 75.42 , 16.83 , 41.27 , 50.38 , 68.85 , 17.83 , 10.42 , 78.31 , 93.80 , 31.49 
Total, 331.73 , 339.25 , 351.88 , 354.07 , 360.81 , 353.84 , 352.99 , 405.37 , 402.20 , 386.38 
,,,,,,,,,,
Working Capital, 70.72 , 10.62 , 32.34 , 40.92 , 60.27 , 12.50 , 7.43 , 68.70 , 84.43 , 29.15 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, 0.06 , 0.04 , 0.02 , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, 91.17 , 265.50 ," 1,103.00 ", -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,1%,2%,3%,1%,2%,-1%,0%,12%,-1%,-2%
Return on Capital Emp,,3%,4%,1%,2%,1%,0%,13%,0%,-2%
,,,,,,,,,,
