ASIAN HOTELS (NORTH) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 22.80 , 11.40 , 19.45 , 19.45 , 19.45 , 19.45 , 19.45 , 19.45 , 19.45 , 19.45 
Reserves," 1,452.86 ", 770.59 , 790.70 , 822.37 , 848.94 , 783.26 , 733.38 , 737.51 , 721.38 , 719.28 
Borrowings, 174.35 , 157.15 , 589.19 , 662.56 , 755.39 , 899.89 , 905.69 , 945.12 , 947.37 , 895.72 
Other Liabilities, 239.19 , 112.48 , 171.28 , 272.97 , 304.31 , 267.82 , 253.13 , 149.27 , 195.88 , 237.96 
Total," 1,889.20 "," 1,051.62 "," 1,570.62 "," 1,777.35 "," 1,928.09 "," 1,970.42 "," 1,911.65 "," 1,851.35 "," 1,884.08 "," 1,872.41 "
,,,,,,,,,,
Net Block," 1,438.94 ", 979.55 , 977.23 , 983.23 , 983.43 ," 1,185.81 "," 1,270.81 "," 1,213.29 "," 1,185.55 "," 1,148.12 "
Capital Work in Progress, 7.54 , 9.90 , 133.75 , 200.20 , 269.69 , 67.11 , 9.51 , 3.38 , 1.40 , 1.91 
Investments, 238.18 , -   , 391.06 , 104.66 , 107.96 , 556.61 , 559.15 , 562.96 , 561.43 , 563.07 
Other Assets, 204.54 , 62.17 , 68.58 , 489.26 , 567.01 , 160.89 , 72.18 , 71.72 , 135.70 , 159.31 
Total," 1,889.20 "," 1,051.62 "," 1,570.62 "," 1,777.35 "," 1,928.09 "," 1,970.42 "," 1,911.65 "," 1,851.35 "," 1,884.08 "," 1,872.41 "
,,,,,,,,,,
Working Capital, (34.65), (50.31), (102.70), 216.29 , 262.70 , (106.93), (180.95), (77.55), (60.18), (78.65)
Debtors, 20.20 , 9.69 , 10.77 , 11.63 , 11.19 , 9.97 , 9.86 , 10.67 , 10.89 , 12.01 
Inventory, 8.87 , 5.88 , 7.00 , 5.56 , 6.34 , 6.11 , 4.59 , 7.98 , 9.49 , 11.61 
,,,,,,,,,,
Debtor Days, 11.49 , 24.38 , 16.34 , 18.78 , 18.90 , 15.96 , 15.46 , 16.15 , 15.82 , 15.97 
Inventory Turnover, 72.37 , 24.68 , 34.37 , 40.65 , 34.09 , 37.33 , 50.72 , 30.22 , 26.47 , 23.64 
,,,,,,,,,,
Return on Equity,6%,3%,4%,4%,3%,-3%,-6%,0%,-2%,0%
Return on Capital Emp,,4%,6%,7%,6%,4%,3%,6%,4%,6%
,,,,,,,,,,
