AARTI DRUGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 11.71 , 11.71 , 12.11 , 12.11 , 12.11 , 12.11 , 24.22 , 24.22 , 23.86 , 23.58 
Reserves, 108.27 , 128.98 , 144.41 , 164.37 , 195.50 , 238.80 , 279.49 , 326.10 , 363.11 , 409.59 
Borrowings, 178.48 , 177.65 , 221.57 , 272.49 , 295.69 , 342.24 , 434.75 , 464.85 , 447.90 , 517.01 
Other Liabilities, 88.08 , 90.31 , 137.80 , 163.64 , 216.42 , 256.59 , 228.47 , 239.53 , 281.24 , 364.59 
Total, 386.54 , 408.65 , 515.89 , 612.61 , 719.72 , 849.74 , 966.93 ," 1,054.70 "," 1,116.11 "," 1,314.77 "
,,,,,,,,,,
Net Block, 179.38 , 183.53 , 224.21 , 273.54 , 291.23 , 372.53 , 431.48 , 462.77 , 542.32 , 563.59 
Capital Work in Progress, 0.64 , 3.41 , 10.37 , 2.99 , 12.59 , 8.32 , 13.35 , 34.04 , 14.13 , 27.99 
Investments, 21.38 , 21.38 , 24.61 , 6.92 , 5.13 , 4.62 , 11.11 , 11.12 , 18.42 , 17.24 
Other Assets, 185.14 , 200.33 , 256.70 , 329.16 , 410.77 , 464.27 , 510.99 , 546.77 , 541.24 , 705.95 
Total, 386.54 , 408.65 , 515.89 , 612.61 , 719.72 , 849.74 , 966.93 ," 1,054.70 "," 1,116.11 "," 1,314.77 "
,,,,,,,,,,
Working Capital, 97.06 , 110.02 , 118.90 , 165.52 , 194.35 , 207.68 , 282.52 , 307.24 , 260.00 , 341.36 
Debtors, 106.33 , 118.45 , 125.83 , 180.60 , 215.67 , 276.52 , 307.59 , 321.20 , 278.27 , 363.75 
Inventory, 57.20 , 58.58 , 83.16 , 97.91 , 140.92 , 126.73 , 153.36 , 167.05 , 188.75 , 254.10 
,,,,,,,,,,
Debtor Days, 103.08 , 93.94 , 92.52 , 99.99 , 95.33 , 103.87 , 103.26 , 109.01 , 93.29 , 116.42 
Inventory Turnover, 6.58 , 7.86 , 5.97 , 6.73 , 5.86 , 7.67 , 7.09 , 6.44 , 5.77 , 4.49 
,,,,,,,,,,
Return on Equity,13%,19%,14%,13%,22%,25%,26%,19%,20%,17%
Return on Capital Emp,,20%,14%,14%,20%,22%,21%,18%,18%,17%
,,,,,,,,,,
