EICHER MOTORS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, 28.09 , 12.66 , 26.94 , 26.99 , 27.00 , 27.04 , 27.10 , 27.16 , 27.21 , 27.26 
Reserves, 452.80 , 375.81 , 429.73 , 513.05 , 602.05 , 794.30 ," 1,206.56 "," 2,309.25 "," 3,895.38 "," 5,344.97 "
Borrowings, 8.05 , 12.40 , 17.47 , 14.35 , 4.58 , 4.00 , -   , 22.57 , 67.44 , 85.98 
Other Liabilities, 116.78 , 156.04 , 165.27 , 232.15 , 395.29 , 663.74 ," 1,001.98 "," 1,274.60 "," 1,561.78 "," 2,356.82 "
Total, 605.72 , 556.91 , 639.41 , 786.54 ," 1,028.92 "," 1,489.08 "," 2,235.64 "," 3,633.58 "," 5,551.81 "," 7,815.03 "
,,,,,,,,,,
Net Block, 61.87 , 63.77 , 71.75 , 112.30 , 137.70 , 299.25 , 500.58 , 788.50 , 870.05 ," 1,497.28 "
Capital Work in Progress, 1.95 , 1.70 , 3.06 , 4.21 , 60.33 , 13.92 , 59.34 , 94.48 , 373.77 , 333.21 
Investments, 11.68 , 299.55 , 463.98 , 518.01 , 649.39 , 856.35 ," 1,188.58 "," 2,073.61 "," 3,541.73 "," 3,865.99 "
Other Assets, 530.22 , 191.89 , 100.62 , 152.02 , 181.50 , 319.56 , 487.14 , 676.99 , 766.26 ," 2,118.55 "
Total, 605.72 , 556.91 , 639.41 , 786.54 ," 1,028.92 "," 1,489.08 "," 2,235.64 "," 3,633.58 "," 5,551.81 "," 7,815.03 "
,,,,,,,,,,
Working Capital, 413.44 , 35.85 , (64.65), (80.13), (213.79), (344.18), (514.84), (597.61), (795.52), (238.27)
Debtors, 5.08 , 5.19 , 3.64 , 4.10 , 6.20 , 12.13 , 10.70 , 46.13 , 48.94 , 78.02 
Inventory, 19.37 , 22.03 , 28.23 , 45.27 , 75.41 , 143.84 , 205.13 , 300.36 , 322.45 , 379.23 
,,,,,,,,,,
Debtor Days, 2.68 , 5.05 , 3.03 , 2.23 , 2.16 , 2.60 , 1.29 , 2.72 , 2.54 , 3.18 
Inventory Turnover, 35.65 , 17.03 , 15.53 , 14.83 , 13.91 , 11.84 , 14.78 , 20.60 , 21.83 , 23.62 
,,,,,,,,,,
Return on Equity,8%,10%,17%,23%,23%,34%,45%,56%,40%,32%
Return on Capital Emp,,11%,20%,28%,29%,50%,78%,103%,72%,56%
,,,,,,,,,,
