INSECTICIDES INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.68 , 12.68 , 12.68 , 12.68 , 12.68 , 12.68 , 12.68 , 20.67 , 20.67 , 20.67 
Reserves, 88.13 , 113.53 , 142.06 , 169.48 , 199.54 , 233.87 , 278.73 , 388.23 , 443.89 , 526.92 
Borrowings, 13.80 , 21.90 , 38.05 , 158.55 , 211.32 , 258.01 , 321.61 , 205.67 , 236.64 , 114.36 
Other Liabilities, 86.65 , 119.14 , 150.68 , 179.58 , 208.60 , 286.81 , 307.74 , 321.92 , 288.83 , 339.58 
Total, 201.26 , 267.25 , 343.47 , 520.29 , 632.14 , 791.37 , 920.76 , 936.49 , 990.03 ," 1,001.53 "
,,,,,,,,,,
Net Block, 24.53 , 25.51 , 31.42 , 51.25 , 140.35 , 170.08 , 204.71 , 193.95 , 184.59 , 231.57 
Capital Work in Progress, 0.75 , 7.08 , 59.21 , 91.97 , 44.87 , 54.20 , 37.65 , 51.23 , 58.18 , 16.82 
Investments, 17.17 , 5.00 , -   , -   , -   , 11.09 , 11.09 , 11.09 , 11.05 , 16.26 
Other Assets, 158.81 , 229.66 , 252.84 , 377.07 , 446.92 , 556.00 , 667.31 , 680.22 , 736.21 , 736.88 
Total, 201.26 , 267.25 , 343.47 , 520.29 , 632.14 , 791.37 , 920.76 , 936.49 , 990.03 ," 1,001.53 "
,,,,,,,,,,
Working Capital, 72.16 , 110.52 , 102.16 , 197.49 , 238.32 , 269.19 , 359.57 , 358.30 , 447.38 , 397.30 
Debtors, 33.15 , 63.41 , 80.62 , 89.21 , 116.51 , 127.87 , 166.81 , 207.64 , 211.61 , 234.81 
Inventory, 96.34 , 118.08 , 125.77 , 202.42 , 225.35 , 311.66 , 391.40 , 350.60 , 425.78 , 407.29 
,,,,,,,,,,
Debtor Days, 50.53 , 66.73 , 72.67 , 68.04 , 75.16 , 58.28 , 68.24 , 83.65 , 77.69 , 79.86 
Inventory Turnover, 2.49 , 2.94 , 3.22 , 2.36 , 2.51 , 2.57 , 2.28 , 2.58 , 2.34 , 2.64 
,,,,,,,,,,
Return on Equity,21%,22%,21%,18%,17%,16%,19%,10%,13%,15%
Return on Capital Emp,,27%,25%,20%,17%,16%,17%,12%,16%,20%
,,,,,,,,,,
