CEAT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,355.18 "," 2,775.91 "," 3,458.53 "," 4,424.05 "," 4,827.05 "," 5,275.56 "," 5,503.90 "," 5,450.66 "," 5,701.73 "," 6,161.34 "," 6,798.68 "," 6,798.68 "," 6,421.92 "
Expenses," 2,331.71 "," 2,479.40 "," 3,311.32 "," 4,176.81 "," 4,403.86 "," 4,642.73 "," 4,854.58 "," 4,656.43 "," 5,031.75 "," 5,529.91 "," 6,162.44 "," 5,975.77 "," 5,820.94 "
Operating Profit, 23.47 , 296.51 , 147.21 , 247.24 , 423.19 , 632.83 , 649.32 , 794.23 , 669.98 , 631.43 , 636.24 , 822.91 , 600.98 
Other Income, 49.10 , 41.63 , 20.56 , 25.11 , (6.50), 10.71 , 21.91 , 39.88 , 25.41 , 31.77 , 12.35 , -   , -   
Depreciation, 25.62 , 26.88 , 34.17 , 70.47 , 78.16 , 82.63 , 87.85 , 106.84 , 142.01 , 161.68 , 174.30 , 174.30 , 174.30 
Interest, 84.11 , 72.27 , 100.36 , 192.16 , 192.79 , 183.76 , 140.52 , 99.46 , 86.73 , 91.86 , 64.52 , 64.52 , 64.52 
Profit before tax, (37.16), 238.99 , 33.24 , 9.72 , 145.74 , 377.14 , 442.86 , 627.80 , 466.65 , 409.66 , 409.77 , 584.09 , 362.16 
Tax, (21.05), 77.95 , 10.96 , 2.18 , 39.38 , 123.35 , 143.89 , 182.62 , 103.92 , 130.94 , 120.86 ,29%,29%
Net profit, (16.11), 161.04 , 22.28 , 7.54 , 106.35 , 253.78 , 298.97 , 445.18 , 362.73 , 278.72 , 288.91 , 411.81 , 255.34 
EPS, (4.70), 47.03 , 6.51 , 2.20 , 31.06 , 70.58 , 73.91 , 110.06 , 89.67 , 68.90 , 71.42 , 101.81 , 63.13 
Price to earning, (9.52), 3.29 , 16.91 , 46.70 , 3.06 , 5.68 , 11.21 , 10.05 , 15.99 , 23.13 , 14.27 , 15.86 , 13.39 
Price, 44.81 , 154.51 , 110.05 , 102.82 , 95.15 , 401.12 , 828.41 ," 1,106.31 "," 1,434.23 "," 1,593.59 "," 1,019.40 "," 1,614.84 ", 845.23 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,8.51%,30.75%,45.36%,12.88%,14.17%,13.53%,10.45%,12.82%,16.69%,,,
OPM,1.00%,10.68%,4.26%,5.59%,8.77%,12.00%,11.80%,14.57%,11.75%,10.25%,9.36%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.28%,8.60%,5.00%,3.83%,10.34%,10.34%,3.83%
,,,,,,OPM,9.83%,10.84%,12.02%,12.10%,9.36%,12.10%,9.36%
,,,,,,Price to Earning, 15.03 , 16.26 , 13.39 , 15.86 , 14.27 , 15.86 , 13.39 
