JINDAL STAINLESS (HISAR) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   ," 7,365.40 "," 6,369.74 "," 6,889.81 "," 9,258.67 "," 8,956.40 "," 12,441.99 "," 9,968.36 "
Expenses, -   , -   , -   , -   , -   , -   ," 6,652.75 "," 5,705.70 "," 5,994.75 "," 8,130.87 "," 8,056.79 "," 10,957.40 "," 8,967.11 "
Operating Profit, -   , -   , -   , -   , -   , -   , 712.65 , 664.04 , 895.06 ," 1,127.80 ", 899.61 ," 1,484.59 "," 1,001.25 "
Other Income, -   , -   , -   , -   , -   , -   , 38.81 , 120.47 , 107.96 , 142.33 , 127.48 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 291.91 , 285.00 , 265.24 , 266.60 , 275.78 , 275.78 , 275.78 
Interest, -   , -   , -   , -   , -   , -   , 447.24 , 469.40 , 411.93 , 395.45 , 347.56 , 347.56 , 347.56 
Profit before tax, -   , -   , -   , -   , -   , -   , 12.32 , 30.11 , 325.85 , 608.08 , 403.75 , 861.25 , 377.91 
Tax, -   , -   , -   , -   , -   , -   , -   , 5.28 , 107.83 , 212.38 , 142.10 ,35%,35%
Net profit, -   , -   , -   , -   , -   , -   , 12.32 , 24.83 , 218.02 , 395.70 , 261.65 , 558.13 , 244.91 
EPS, -   , -   , -   , -   , -   , -   , -   , 1.07 , 9.24 , 16.77 , 11.09 , 23.66 , 10.38 
Price to earning,  ,  ,  ,  ,  ,  ,  , 30.06 , 15.37 , 10.91 , 7.89 , 16.06 , 7.89 
Price, -   , -   , -   , -   , -   , -   , -   , 32.29 , 141.99 , 182.93 , 87.50 , 379.84 , 81.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.68%,10.42%,12.99%,12.18%,10.04%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,7.92%,34.38%,34.38%,7.92%
,,,,,,OPM,11.38%,11.38%,11.38%,11.93%,10.04%,11.93%,10.04%
,,,,,,Price to Earning, 16.06 , 16.06 , 16.06 , 16.06 , 7.89 , 16.06 , 7.89 
