JUBILANT INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 534.50 , 241.99 , 22.71 , 25.20 , 26.31 , 29.18 , 22.54 , 17.46 , 12.23 , 15.23 , 12.73 
Expenses, -   , 0.02 , 488.96 , 208.63 , 23.21 , 25.86 , 27.39 , 29.66 , 25.18 , 19.42 , 14.87 , 15.23 , 12.73 
Operating Profit, -   , (0.02), 45.54 , 33.36 , (0.50), (0.66), (1.08), (0.48), (2.64), (1.96), (2.64), -   , -   
Other Income, -   , 0.01 , 2.55 , 1.84 , 0.21 , 0.01 , 0.02 , (0.39), 40.93 , 0.62 , 0.02 , -   , -   
Depreciation, -   , -   , 5.75 , 2.84 , 0.13 , 0.15 , 0.15 , 0.13 , 0.12 , 0.10 , 0.10 , 0.10 , 0.10 
Interest, -   , -   , 1.93 , 1.70 , 0.01 , 0.01 , 0.12 , 0.16 , 0.07 , -   , 0.01 , 0.01 , 0.01 
Profit before tax, -   , (0.01), 40.41 , 30.66 , (0.44), (0.80), (1.33), (1.14), 38.11 , (1.45), (2.73), (0.11), (0.11)
Tax, -   , -   , 11.80 , 4.91 , 0.03 , 0.15 , (0.16), (0.05), -   , -   , -   ,0%,0%
Net profit, -   , (0.01), 28.61 , 25.75 , (0.47), (0.94), (1.18), (1.08), 38.11 , (1.46), (2.73), (0.11), (0.11)
EPS, -   , (2.00), 35.70 , 21.73 , (0.40), (0.79), (1.00), (0.91), 31.98 , (1.23), (1.99), (0.08), (0.08)
Price to earning,  ,  , 5.63 , 13.02 , (262.93), (82.95), (97.36), (168.19), 10.00 , (147.45), -   , 10.00 , -   
Price, -   , -   , 200.85 , 282.88 , 104.29 , 65.80 , 96.95 , 152.82 , 319.95 , 180.68 , 116.80 , (0.80), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,8.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,8.52%,13.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,-38.66%,-5.12%,-12.77%,-22.54%,-12.77%,-38.66%
,,,,,,OPM,8.58%,8.66%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 9.55 , 11.51 , 10.00 , 10.00 , -   , 10.00 , -   
