CLARIANT CHEMICALS (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, 26.66 , 26.66 , 26.66 , 26.66 , 26.66 , 26.66 , 26.66 , 23.08 , 23.08 , 23.08 
Reserves, 290.97 , 321.13 , 340.44 , 458.77 , 474.85 , 547.69 ," 1,369.36 ", 646.35 , 649.84 , 601.53 
Borrowings, 3.09 , 2.05 , 1.05 , -   , -   , -   , 9.45 , -   , -   , -   
Other Liabilities, 222.76 , 244.56 , 313.53 , 322.86 , 329.33 , 343.71 , 442.60 , 237.30 , 266.56 , 275.80 
Total, 543.48 , 594.40 , 681.68 , 808.29 , 830.84 , 918.06 ," 1,848.07 ", 906.73 , 939.48 , 900.41 
,,,,,,,,,,
Net Block, 154.06 , 146.82 , 139.36 , 170.49 , 174.31 , 165.99 , 335.03 , 364.63 , 343.16 , 323.23 
Capital Work in Progress, 10.54 , 5.91 , 19.88 , 13.07 , 9.15 , 25.49 , 13.18 , 4.97 , 9.87 , 10.41 
Investments, 57.84 , 124.50 , 191.84 , 266.51 , 234.65 , 267.40 , 33.01 , 73.99 , 112.48 , 40.74 
Other Assets, 321.04 , 317.17 , 330.60 , 358.22 , 412.73 , 459.18 ," 1,466.85 ", 463.14 , 473.97 , 526.03 
Total, 543.48 , 594.40 , 681.68 , 808.29 , 830.84 , 918.06 ," 1,848.07 ", 906.73 , 939.48 , 900.41 
,,,,,,,,,,
Working Capital, 98.28 , 72.61 , 17.07 , 35.36 , 83.40 , 115.47 ," 1,024.25 ", 225.84 , 207.41 , 250.23 
Debtors, 132.11 , 144.60 , 125.61 , 134.12 , 148.34 , 169.23 , 160.59 , 176.62 , 172.96 , 177.84 
Inventory, 105.44 , 76.65 , 90.72 , 115.59 , 162.33 , 145.63 , 163.35 , 142.13 , 155.61 , 167.99 
,,,,,,,,,,
Debtor Days, 53.18 , 57.52 , 47.44 , 50.21 , 49.63 , 49.92 , 56.11 , 56.55 , 64.35 , 64.04 
Inventory Turnover, 8.60 , 11.97 , 10.65 , 8.43 , 6.72 , 8.50 , 6.40 , 8.02 , 6.30 , 6.03 
,,,,,,,,,,
Return on Equity,21%,31%,31%,63%,20%,29%,68%,9%,4%,3%
Return on Capital Emp,,49%,46%,93%,29%,42%,120%,7%,5%,5%
,,,,,,,,,,
