GPT INFRAPROJECTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.00 , 10.00 , 13.57 , 14.34 , 14.34 , 14.34 , 14.34 , 14.34 , 14.54 , 29.09 
Reserves, 23.06 , 34.87 , 97.87 , 118.27 , 125.93 , 127.13 , 128.09 , 134.68 , 151.20 , 145.32 
Borrowings, 80.09 , 100.38 , 126.97 , 171.59 , 222.41 , 231.45 , 227.17 , 223.83 , 221.58 , 240.84 
Other Liabilities, 58.90 , 116.21 , 96.99 , 108.11 , 144.40 , 141.67 , 127.43 , 162.70 , 189.44 , 215.24 
Total, 172.05 , 261.46 , 335.40 , 412.31 , 507.08 , 514.59 , 497.03 , 535.55 , 576.76 , 630.49 
,,,,,,,,,,
Net Block, 38.35 , 49.80 , 55.53 , 59.03 , 71.12 , 72.65 , 60.17 , 65.87 , 93.38 , 101.13 
Capital Work in Progress, 1.27 , 0.30 , 3.16 , 9.75 , 1.62 , 0.11 , 9.25 , 2.87 , 2.88 , 1.77 
Investments, 14.10 , 12.14 , 28.12 , 43.69 , 50.27 , 58.36 , 62.85 , 52.97 , 41.71 , 41.71 
Other Assets, 118.33 , 199.22 , 248.59 , 299.84 , 384.07 , 383.47 , 364.76 , 413.84 , 438.79 , 485.88 
Total, 172.05 , 261.46 , 335.40 , 412.31 , 507.08 , 514.59 , 497.03 , 535.55 , 576.76 , 630.49 
,,,,,,,,,,
Working Capital, 59.43 , 83.01 , 151.60 , 191.73 , 239.67 , 241.80 , 237.33 , 251.14 , 249.35 , 270.64 
Debtors, 37.31 , 63.10 , 90.41 , 93.85 , 85.16 , 74.96 , 55.40 , 66.09 , 67.51 , 68.02 
Inventory, 57.67 , 45.76 , 49.36 , 59.75 , 83.95 , 58.01 , 43.78 , 53.27 , 53.98 , 68.76 
,,,,,,,,,,
Debtor Days, 70.08 , 75.62 , 89.67 , 109.59 , 92.63 , 84.02 , 81.83 , 67.69 , 52.50 , 54.79 
Inventory Turnover, 3.37 , 6.66 , 7.46 , 5.23 , 4.00 , 5.61 , 5.64 , 6.69 , 8.70 , 6.59 
,,,,,,,,,,
Return on Equity,25%,35%,14%,10%,7%,2%,1%,7%,8%,10%
Return on Capital Emp,,30%,20%,14%,12%,10%,10%,14%,14%,15%
,,,,,,,,,,
