CYIENT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 566.57 , 561.80 , 647.67 , 863.80 ," 1,051.56 "," 1,224.49 "," 1,294.01 "," 1,245.60 "," 1,292.00 "," 1,439.70 "," 1,614.90 "," 1,614.90 "," 1,498.16 "
Expenses, 488.41 , 411.46 , 510.65 , 652.82 , 769.24 , 880.19 , 991.58 , 995.40 ," 1,011.90 "," 1,064.90 "," 1,183.80 "," 1,183.80 "," 1,157.23 "
Operating Profit, 78.16 , 150.34 , 137.02 , 210.98 , 282.32 , 344.30 , 302.43 , 250.20 , 280.10 , 374.80 , 431.10 , 431.10 , 340.93 
Other Income, 34.16 , 45.67 , 32.05 , 53.58 , 35.50 , 52.43 , 102.93 , 106.30 , 61.50 , 202.60 , 162.10 , -   , -   
Depreciation, 42.66 , 40.71 , 37.55 , 41.16 , 56.32 , 64.87 , 61.81 , 68.40 , 54.00 , 50.80 , 50.90 , 50.90 , 50.90 
Interest, 3.51 , 0.47 , 0.08 , 0.56 , 0.09 , 0.36 , 0.51 , 0.30 , 0.60 , 0.60 , 1.10 , 1.10 , 1.10 
Profit before tax, 66.15 , 154.83 , 131.44 , 222.84 , 261.41 , 331.50 , 343.04 , 287.80 , 287.00 , 526.00 , 541.20 , 379.10 , 288.93 
Tax, (4.71), 28.06 , 13.56 , 64.24 , 77.06 , 76.59 , 71.89 , 54.30 , 50.10 , 124.20 , 100.50 ,19%,19%
Net profit, 70.86 , 126.77 , 117.88 , 158.60 , 184.34 , 254.91 , 271.16 , 233.50 , 236.90 , 401.80 , 440.70 , 308.70 , 235.28 
EPS, 6.40 , 11.42 , 10.59 , 14.24 , 16.52 , 22.77 , 24.13 , 20.76 , 21.05 , 35.69 , 40.09 , 28.08 , 21.40 
Price to earning, 8.28 , 16.35 , 14.91 , 11.37 , 10.27 , 14.40 , 20.70 , 22.22 , 23.69 , 19.00 , 13.96 , 19.71 , 13.96 
Price, 52.93 , 186.67 , 157.90 , 161.84 , 169.70 , 327.94 , 499.63 , 461.17 , 498.56 , 677.88 , 559.55 , 553.66 , 298.73 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.69%,8.76%,11.80%,17.57%,27.24%,21.96%,33.15%,33.70%,49.91%,36.43%,,,
OPM,13.80%,26.76%,21.16%,24.42%,26.85%,28.12%,23.37%,20.09%,21.68%,26.03%,26.70%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.92%,12.09%,6.48%,3.62%,12.17%,12.17%,3.62%
,,,,,,OPM,23.66%,24.31%,23.89%,22.76%,26.70%,26.70%,22.76%
,,,,,,Price to Earning, 15.92 , 16.95 , 18.99 , 19.71 , 13.96 , 19.71 , 13.96 
