ADANI TRANSMISSION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 ," 1,090.00 "," 1,099.81 "," 1,099.81 "," 1,099.81 "
Reserves, -   , -   , -   , -   , -   , -   , (17.94)," 1,149.05 "," 1,021.18 ", 904.33 
Borrowings, -   , -   , -   , -   , -   , -   ," 2,627.26 "," 5,303.97 "," 7,975.75 "," 7,796.83 "
Other Liabilities, -   , -   , -   , -   , -   , -   , 11.79 , 67.74 , 682.60 ," 2,445.71 "
Total, -   , -   , -   , -   , -   , 0.05 ," 3,711.11 "," 7,620.57 "," 10,779.34 "," 12,246.68 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 0.70 , 0.66 , 0.58 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   ," 3,683.13 "," 3,685.78 "," 3,814.70 "," 3,782.69 "
Other Assets, -   , -   , -   , -   , -   , 0.05 , 27.98 ," 3,934.09 "," 6,963.98 "," 8,463.41 "
Total, -   , -   , -   , -   , -   , 0.05 ," 3,711.11 "," 7,620.57 "," 10,779.34 "," 12,246.68 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.05 , 16.19 ," 3,866.35 "," 6,281.38 "," 6,017.70 "
Debtors, -   , -   , -   , -   , -   , -   , 25.89 , 76.81 , 111.05 , 29.34 
Inventory, -   , -   , -   , -   , -   , -   , -   , 4.68 , 4.69 , 3.03 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 412.30 , 102.15 , 50.06 , 12.82 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 58.64 , 172.63 , 275.67 
,,,,,,,,,,
Return on Equity,,,,,,0%,-2%,-3%,0%,-1%
Return on Capital Emp,,,,,,0%,0%,4%,9%,8%
,,,,,,,,,,
