LEMON TREE HOTELS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 776.43 , 778.04 , 781.21 , 786.39 
Reserves, -   , -   , -   , -   , -   , -   , 151.18 , 137.30 , 146.02 , 174.72 
Borrowings, -   , -   , -   , -   , -   , -   , 324.40 , 341.07 , 321.05 , 318.80 
Other Liabilities, -   , -   , -   , -   , -   , -   , 75.32 , 89.02 , 94.18 , 106.72 
Total, -   , -   , -   , -   , -   , -   ," 1,327.33 "," 1,345.43 "," 1,342.46 "," 1,386.63 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 432.52 , 453.50 , 435.32 , 452.02 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 11.78 , 5.27 , 7.28 , 10.38 
Investments, -   , -   , -   , -   , -   , -   , 681.51 , 699.89 , 697.33 , 715.73 
Other Assets, -   , -   , -   , -   , -   , -   , 201.52 , 186.77 , 202.53 , 208.50 
Total, -   , -   , -   , -   , -   , -   ," 1,327.33 "," 1,345.43 "," 1,342.46 "," 1,386.63 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 126.20 , 97.75 , 108.35 , 101.78 
Debtors, -   , -   , -   , -   , -   , -   , 10.70 , 17.07 , 14.57 , 20.64 
Inventory, -   , -   , -   , -   , -   , -   , 2.00 , 2.29 , 2.03 , 2.00 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 20.77 , 32.24 , 24.35 , 32.60 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 94.02 , 84.40 , 107.60 , 115.54 
,,,,,,,,,,
Return on Equity,,,,,,,0%,-2%,1%,2%
Return on Capital Emp,,,,,,,7%,2%,4%,5%
,,,,,,,,,,
