IVRCL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 4,980.43 "," 5,492.86 "," 5,441.90 "," 5,965.35 "," 3,759.09 "," 4,304.81 "," 3,117.42 "," 2,361.68 "," 2,015.26 "," 1,413.47 ", 779.87 ," 1,085.88 "," 1,180.59 "
Expenses," 4,557.58 "," 4,959.17 "," 5,133.93 "," 5,677.25 "," 3,495.22 "," 4,141.42 "," 3,146.70 "," 2,760.69 "," 2,385.70 "," 1,944.67 "," 1,167.79 "," 1,085.88 "," 1,180.59 "
Operating Profit, 422.85 , 533.69 , 307.97 , 288.10 , 263.87 , 163.39 , (29.28), (399.01), (370.44), (531.20), (387.92), -   , -   
Other Income, 96.27 , 61.47 , 53.59 , 169.56 , 78.87 , (187.75), 100.33 , 48.86 , 36.99 , (385.60), (555.54), -   , -   
Depreciation, 47.31 , 54.28 , 75.78 , 118.94 , 63.97 , 87.98 , 90.36 , 80.20 , 72.00 , 64.64 , 52.86 , 52.86 , 52.86 
Interest, 198.03 , 212.03 , 262.71 , 505.09 , 347.89 , 584.73 , 652.92 , 677.60 , 684.78 ," 1,013.85 "," 1,353.52 "," 1,353.52 "," 1,353.52 "
Profit before tax, 273.78 , 328.85 , 232.62 , 46.24 , (69.12), (697.08), (672.24)," (1,107.94)"," (1,090.23)"," (1,995.30)"," (2,349.84)"," (1,406.38)"," (1,406.38)"
Tax, 47.81 , 117.53 , 74.72 , 28.16 , 32.54 , 19.70 , -   , (40.03), (960.69), (4.09), 0.09 ,0%,0%
Net profit, 225.97 , 211.32 , 157.90 , 18.08 , (101.66), (716.78), (672.23)," (1,067.91)", (129.54)," (1,991.21)"," (2,349.95)"," (1,406.38)"," (1,406.38)"
EPS, 16.93 , 7.91 , 5.91 , 0.68 , (3.31), (23.36), (14.64), (14.66), (1.65), (25.43), (30.02), (17.96), (17.96)
Price to earning, 4.54 , 22.17 , 14.71 , 71.19 , (6.13), (0.63), (1.07), (0.35), (3.16), (0.14), -   , -   , -   
Price, 76.77 , 175.49 , 87.00 , 48.20 , 20.30 , 14.82 , 15.60 , 5.13 , 5.23 , 3.60 , 0.70 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.27%,10.11%,10.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,8.49%,9.72%,5.66%,4.83%,7.02%,3.80%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-13.06%,-17.52%,-17.77%,-23.18%,-29.86%,-23.18%,-29.86%
,,,,,,OPM,5.10%,3.12%,1.24%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 28.15 , 71.19 ,  ,  , -   , -   , -   
