D-LINK INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 132.48 , 132.79 , 128.09 , 223.07 , 353.70 , 487.58 , 625.32 , 700.74 , 687.23 , 641.58 , 699.64 , 699.64 , 647.59 
Expenses, 128.58 , 126.52 , 124.20 , 212.05 , 334.22 , 465.83 , 592.31 , 667.11 , 664.23 , 626.11 , 656.83 , 656.83 , 624.59 
Operating Profit, 3.90 , 6.27 , 3.89 , 11.02 , 19.48 , 21.75 , 33.01 , 33.63 , 23.00 , 15.47 , 42.81 , 42.81 , 23.01 
Other Income, 3.72 , 4.63 , 2.02 , 0.83 , 0.58 , 1.12 , 1.56 , 1.39 , 2.00 , 2.19 , (4.36), -   , -   
Depreciation, 0.22 , 0.38 , 0.92 , 1.60 , 1.66 , 1.68 , 1.70 , 1.47 , 1.17 , 1.06 , 1.00 , 1.00 , 1.00 
Interest, 0.20 , 0.09 , 0.01 , 0.16 , 0.18 , 0.82 , 0.46 , 0.36 , 0.51 , 0.85 , 0.09 , 0.09 , 0.09 
Profit before tax, 7.20 , 10.43 , 4.98 , 10.09 , 18.22 , 20.37 , 32.41 , 33.19 , 23.31 , 15.76 , 37.36 , 41.72 , 21.92 
Tax, 2.35 , 3.25 , 1.56 , 3.05 , 5.90 , 6.79 , 11.08 , 11.69 , 8.06 , 5.34 , 13.81 ,37%,37%
Net profit, 4.85 , 7.18 , 3.42 , 7.04 , 12.33 , 13.58 , 21.33 , 21.50 , 15.25 , 10.42 , 23.55 , 26.30 , 13.81 
EPS, 970.00 , 2.39 , 1.14 , 2.35 , 4.11 , 4.53 , 6.01 , 6.06 , 4.30 , 2.93 , 6.63 , 7.41 , 3.89 
Price to earning,  , 13.25 , 30.29 , 8.86 , 6.98 , 6.56 , 29.55 , 20.41 , 33.44 , 35.43 , 13.98 , 25.81 , 13.98 
Price, -   , 31.70 , 34.53 , 20.79 , 28.69 , 29.69 , 177.53 , 123.62 , 143.62 , 103.98 , 92.70 , 191.21 , 54.38 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.21%,41.78%,26.32%,17.05%,12.17%,13.25%,11.63%,11.53%,11.61%,16.99%,,,
OPM,2.94%,4.72%,3.04%,4.94%,5.51%,4.46%,5.28%,4.80%,3.35%,2.41%,6.12%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.16%,25.88%,12.65%,0.86%,9.05%,9.05%,0.86%
,,,,,,OPM,4.17%,4.23%,4.04%,3.55%,6.12%,6.12%,3.55%
,,,,,,Price to Earning, 19.87 , 19.40 , 23.23 , 25.81 , 13.98 , 25.81 , 13.98 
