DHARANI SUGARS & CHEMICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 0.31 , 0.31 , 0.31 , 0.31 , 0.31 , 1.91 , 11.73 
Reserves, -   , -   , -   , 100.92 , 145.47 , 175.71 , 188.05 , 218.69 , 242.16 , 518.78 
Borrowings, -   , -   , -   , -   , 41.97 , 50.37 , 44.71 , 54.42 , 53.75 , 7.48 
Other Liabilities, -   , -   , -   , 21.57 , 34.54 , 55.53 , 68.08 , 72.97 , 107.83 , 143.47 
Total, -   , -   , -   , 122.80 , 222.29 , 281.92 , 301.15 , 346.39 , 405.65 , 681.46 
,,,,,,,,,,
Net Block, -   , -   , -   , 63.42 , 125.26 , 143.40 , 157.63 , 168.17 , 217.77 , 225.54 
Capital Work in Progress, -   , -   , -   , 3.16 , 2.98 , 5.15 , 7.14 , 19.13 , 1.84 , 2.42 
Investments, -   , -   , -   , 0.01 , 0.01 , 2.14 , 9.74 , 10.63 , 4.10 , 33.74 
Other Assets, -   , -   , -   , 56.21 , 94.04 , 131.23 , 126.64 , 148.46 , 181.94 , 419.76 
Total, -   , -   , -   , 122.80 , 222.29 , 281.92 , 301.15 , 346.39 , 405.65 , 681.46 
,,,,,,,,,,
Working Capital, -   , -   , -   , 34.64 , 59.50 , 75.70 , 58.56 , 75.49 , 74.11 , 276.29 
Debtors, -   , -   , -   , 5.25 , 3.71 , 11.60 , 13.63 , 18.29 , 14.51 , 20.20 
Inventory, -   , -   , -   , 25.31 , 42.36 , 52.25 , 57.65 , 68.53 , 78.87 , 86.93 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 11.10 , 3.94 , 9.50 , 8.90 , 8.82 , 5.92 , 7.16 
Inventory Turnover, -   , -   , -   , 6.82 , 8.11 , 8.53 , 9.69 , 11.05 , 11.33 , 11.85 
,,,,,,,,,,
Return on Equity,,,,12%,10%,3%,5%,14%,9%,9%
Return on Capital Emp,,,,32%,15%,5%,8%,14%,7%,17%
,,,,,,,,,,
