ADANI GAS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 256.74 , 256.74 , 256.74 
Reserves, -   , -   , -   , -   , -   , -   , -   , 357.25 , 458.10 , 631.15 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 474.78 , 549.10 , 347.63 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 345.27 , 395.86 , 439.36 
Total, -   , -   , -   , -   , -   , -   , -   ," 1,434.04 "," 1,659.80 "," 1,674.88 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 757.44 , 831.80 , 896.73 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 157.02 , 86.65 , 101.83 
Investments, -   , -   , -   , -   , -   , -   , -   , 48.75 , 90.53 , 136.51 
Other Assets, -   , -   , -   , -   , -   , -   , -   , 470.83 , 650.82 , 539.81 
Total, -   , -   , -   , -   , -   , -   , -   ," 1,434.04 "," 1,659.80 "," 1,674.88 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 125.56 , 254.96 , 100.45 
Debtors, -   , -   , -   , -   , -   , -   , -   , 39.28 , 56.21 , 64.26 
Inventory, -   , -   , -   , -   , -   , -   , -   , 38.70 , 38.69 , 42.16 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 12.70 , 18.87 , 18.02 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 29.16 , 28.10 , 30.87 
,,,,,,,,,,
Return on Equity,,,,,,,,13%,14%,19%
Return on Capital Emp,,,,,,,,33%,17%,25%
,,,,,,,,,,
